date,poverty rate_unscaled,poverty rate_monthly,isPartial,scale,poverty rate
2006-06-06,0,0,False,0.0,0.0
2006-06-07,0,0,False,0.0,0.0
2006-06-08,31,31,False,0.31,9.61
2006-06-09,0,0,False,0.0,0.0
2006-06-10,50,50,False,0.5,25.0
2006-06-11,50,50,False,0.5,25.0
2006-06-12,31,31,False,0.31,9.61
2006-06-13,0,0,False,0.0,0.0
2006-06-14,31,31,False,0.31,9.61
2006-06-15,0,0,False,0.0,0.0
2006-06-16,34,34,False,0.34,11.56
2006-06-17,53,53,False,0.53,28.09
2006-06-18,0,0,False,0.0,0.0
2006-06-19,0,0,False,0.0,0.0
2006-06-20,0,0,False,0.0,0.0
2006-06-21,32,32,False,0.32,10.24
2006-06-22,32,32,False,0.32,10.24
2006-06-23,34,34,False,0.34,11.56
2006-06-24,0,0,False,0.0,0.0
2006-06-25,0,0,False,0.0,0.0
2006-06-26,0,0,False,0.0,0.0
2006-06-27,0,0,False,0.0,0.0
2006-06-28,30,30,False,0.3,9.0
2006-06-29,0,0,False,0.0,0.0
2006-06-30,0,0,False,0.0,0.0
2006-07-01,0,0,False,0.0,0.0
2006-07-02,0,0,False,0.0,0.0
2006-07-03,65,65,False,0.65,42.25
2006-07-04,0,0,False,0.0,0.0
2006-07-05,56,56,False,0.56,31.360000000000003
2006-07-06,0,0,False,0.0,0.0
2006-07-07,55,55,False,0.55,30.250000000000004
2006-07-08,0,0,False,0.0,0.0
2006-07-09,0,0,False,0.0,0.0
2006-07-10,0,0,False,0.0,0.0
2006-07-11,0,0,False,0.0,0.0
2006-07-12,0,0,False,0.0,0.0
2006-07-13,0,0,False,0.0,0.0
2006-07-14,0,0,False,0.0,0.0
2006-07-15,0,0,False,0.0,0.0
2006-07-16,0,0,False,0.0,0.0
2006-07-17,0,0,False,0.0,0.0
2006-07-18,50,50,False,0.5,25.0
2006-07-19,51,51,False,0.51,26.01
2006-07-20,0,0,False,0.0,0.0
2006-07-21,0,0,False,0.0,0.0
2006-07-22,80,80,False,0.8,64.0
2006-07-23,0,0,False,0.0,0.0
2006-07-24,0,0,False,0.0,0.0
2006-07-25,0,0,False,0.0,0.0
2006-07-26,0,0,False,0.0,0.0
2006-07-27,51,51,False,0.51,26.01
2006-07-28,0,0,False,0.0,0.0
2006-07-29,0,0,False,0.0,0.0
2006-07-30,0,0,False,0.0,0.0
2006-07-31,100,100,False,1.0,100.0
2006-08-01,0,0,False,0.0,0.0
2006-08-02,60,60,False,0.6,36.0
2006-08-03,63,63,False,0.63,39.69
2006-08-04,0,0,False,0.0,0.0
2006-08-05,0,0,False,0.0,0.0
2006-08-06,100,100,False,1.0,100.0
2006-08-07,0,0,False,0.0,0.0
2006-08-08,0,0,False,0.0,0.0
2006-08-09,0,0,False,0.0,0.0
2006-08-10,61,61,False,0.61,37.21
2006-08-11,0,0,False,0.0,0.0
2006-08-12,0,0,False,0.0,0.0
2006-08-13,0,0,False,0.0,0.0
2006-08-14,0,0,False,0.0,0.0
2006-08-15,0,0,False,0.0,0.0
2006-08-16,0,0,False,0.0,0.0
2006-08-17,0,0,False,0.0,0.0
2006-08-18,64,64,False,0.64,40.96
2006-08-19,0,0,False,0.0,0.0
2006-08-20,0,0,False,0.0,0.0
2006-08-21,0,0,False,0.0,0.0
2006-08-22,58,58,False,0.58,33.64
2006-08-23,59,59,False,0.59,34.809999999999995
2006-08-24,60,60,False,0.6,36.0
2006-08-25,0,0,False,0.0,0.0
2006-08-26,0,0,False,0.0,0.0
2006-08-27,0,0,False,0.0,0.0
2006-08-28,0,0,False,0.0,0.0
2006-08-29,0,0,False,0.0,0.0
2006-08-30,58,58,False,0.58,33.64
2006-08-31,59,59,False,0.59,34.809999999999995
2006-09-01,0,0,False,0.0,0.0
2006-09-02,0,0,False,0.0,0.0
2006-09-03,0,0,False,0.0,0.0
2006-09-04,48,48,False,0.48,23.04
2006-09-05,34,34,False,0.34,11.56
2006-09-06,0,0,False,0.0,0.0
2006-09-07,35,35,False,0.35,12.25
2006-09-08,72,72,False,0.72,51.839999999999996
2006-09-09,53,53,False,0.53,28.09
2006-09-10,0,0,False,0.0,0.0
2006-09-11,34,34,False,0.34,11.56
2006-09-12,67,67,False,0.67,44.89
2006-09-13,0,0,False,0.0,0.0
2006-09-14,34,34,False,0.34,11.56
2006-09-15,36,36,False,0.36,12.959999999999999
2006-09-16,0,0,False,0.0,0.0
2006-09-17,0,0,False,0.0,0.0
2006-09-18,34,34,False,0.34,11.56
2006-09-19,0,0,False,0.0,0.0
2006-09-20,67,67,False,0.67,44.89
2006-09-21,34,34,False,0.34,11.56
2006-09-22,0,0,False,0.0,0.0
2006-09-23,0,0,False,0.0,0.0
2006-09-24,0,0,False,0.0,0.0
2006-09-25,0,0,False,0.0,0.0
2006-09-26,0,0,False,0.0,0.0
2006-09-27,100,100,False,1.0,100.0
2006-09-28,0,0,False,0.0,0.0
2006-09-29,0,0,False,0.0,0.0
2006-09-30,0,0,False,0.0,0.0
2006-10-01,0,0,False,0.0,0.0
2006-10-02,16,16,False,0.16,2.56
2006-10-03,16,16,False,0.16,2.56
2006-10-04,16,16,False,0.16,2.56
2006-10-05,0,0,False,0.0,0.0
2006-10-06,17,17,False,0.17,2.89
2006-10-07,0,0,False,0.0,0.0
2006-10-08,0,0,False,0.0,0.0
2006-10-09,49,49,False,0.49,24.009999999999998
2006-10-10,16,16,False,0.16,2.56
2006-10-11,16,16,False,0.16,2.56
2006-10-12,16,16,False,0.16,2.56
2006-10-13,17,17,False,0.17,2.89
2006-10-14,26,26,False,0.26,6.76
2006-10-15,0,0,False,0.0,0.0
2006-10-16,47,47,False,0.47,22.09
