date,live gold_unscaled,live gold_monthly,isPartial,scale,live gold
2006-07-27,0,0,False,0.0,0.0
2006-07-28,45,45,False,0.45,20.25
2006-07-29,100,100,False,1.0,100.0
2006-07-30,0,0,False,0.0,0.0
2006-07-31,0,0,False,0.0,0.0
2006-08-01,30,30,False,0.3,9.0
2006-08-02,61,61,False,0.61,37.21
2006-08-03,31,31,False,0.31,9.61
2006-08-04,0,0,False,0.0,0.0
2006-08-05,0,0,False,0.0,0.0
2006-08-06,0,0,False,0.0,0.0
2006-08-07,63,63,False,0.63,39.69
2006-08-08,0,0,False,0.0,0.0
2006-08-09,31,31,False,0.31,9.61
2006-08-10,0,0,False,0.0,0.0
2006-08-11,67,67,False,0.67,44.89
2006-08-12,49,49,False,0.49,24.009999999999998
2006-08-13,51,51,False,0.51,26.01
2006-08-14,31,31,False,0.31,9.61
2006-08-15,0,0,False,0.0,0.0
2006-08-16,31,31,False,0.31,9.61
2006-08-17,63,63,False,0.63,39.69
2006-08-18,100,100,False,1.0,100.0
2006-08-19,0,0,False,0.0,0.0
2006-08-20,0,0,False,0.0,0.0
2006-08-21,31,31,False,0.31,9.61
2006-08-22,30,30,False,0.3,9.0
2006-08-23,0,0,False,0.0,0.0
2006-08-24,61,61,False,0.61,37.21
2006-08-25,0,0,False,0.0,0.0
2006-08-26,46,46,False,0.46,21.16
2006-08-27,46,46,False,0.46,21.16
2006-08-28,0,0,False,0.0,0.0
2006-08-29,57,57,False,0.57,32.489999999999995
2006-08-30,0,0,False,0.0,0.0
2006-08-31,30,30,False,0.3,9.0
2006-09-01,23,23,False,0.23,5.29
2006-09-02,65,65,False,0.65,42.25
2006-09-03,35,35,False,0.35,12.25
2006-09-04,0,0,False,0.0,0.0
2006-09-05,0,0,False,0.0,0.0
2006-09-06,0,0,False,0.0,0.0
2006-09-07,0,0,False,0.0,0.0
2006-09-08,65,65,False,0.65,42.25
2006-09-09,31,31,False,0.31,9.61
2006-09-10,0,0,False,0.0,0.0
2006-09-11,0,0,False,0.0,0.0
2006-09-12,0,0,False,0.0,0.0
2006-09-13,40,40,False,0.4,16.0
2006-09-14,0,0,False,0.0,0.0
2006-09-15,0,0,False,0.0,0.0
2006-09-16,32,32,False,0.32,10.24
2006-09-17,0,0,False,0.0,0.0
2006-09-18,0,0,False,0.0,0.0
2006-09-19,59,59,False,0.59,34.809999999999995
2006-09-20,100,100,False,1.0,100.0
2006-09-21,20,20,False,0.2,4.0
2006-09-22,21,21,False,0.21,4.41
2006-09-23,0,0,False,0.0,0.0
2006-09-24,61,61,False,0.61,37.21
2006-09-25,59,59,False,0.59,34.809999999999995
2006-09-26,39,39,False,0.39,15.21
2006-09-27,20,20,False,0.2,4.0
2006-09-28,20,20,False,0.2,4.0
2006-09-29,43,43,False,0.43,18.49
2006-09-30,0,0,False,0.0,0.0
2006-10-01,0,0,False,0.0,0.0
2006-10-02,100,100,False,1.0,100.0
2006-10-03,25,25,False,0.25,6.25
2006-10-04,49,49,False,0.49,24.009999999999998
2006-10-05,0,0,False,0.0,0.0
2006-10-06,53,53,False,0.53,28.09
2006-10-07,0,0,False,0.0,0.0
2006-10-08,0,0,False,0.0,0.0
2006-10-09,0,0,False,0.0,0.0
2006-10-10,48,48,False,0.48,23.04
