date,subsidy_unscaled,subsidy_monthly,isPartial,scale,subsidy
2006-08-13,85,85,False,0.85,72.25
2006-08-14,39,39,False,0.39,15.21
2006-08-15,25,25,False,0.25,6.25
2006-08-16,26,26,False,0.26,6.76
2006-08-17,40,40,False,0.4,16.0
2006-08-18,55,55,False,0.55,30.250000000000004
2006-08-19,40,40,False,0.4,16.0
2006-08-20,40,40,False,0.4,16.0
2006-08-21,51,51,False,0.51,26.01
2006-08-22,100,100,False,1.0,100.0
2006-08-23,25,25,False,0.25,6.25
2006-08-24,26,26,False,0.26,6.76
2006-08-25,80,80,False,0.8,64.0
2006-08-26,0,0,False,0.0,0.0
2006-08-27,57,57,False,0.57,32.489999999999995
2006-08-28,73,73,False,0.73,53.29
2006-08-29,60,60,False,0.6,36.0
2006-08-30,62,62,False,0.62,38.44
2006-08-31,38,38,False,0.38,14.44
2006-09-01,0,0,False,0.0,0.0
2006-09-02,41,41,False,0.41,16.81
2006-09-03,44,44,False,0.44,19.36
2006-09-04,0,0,False,0.0,0.0
2006-09-05,0,0,False,0.0,0.0
2006-09-06,50,50,False,0.5,25.0
2006-09-07,52,52,False,0.52,27.04
2006-09-08,27,27,False,0.27,7.290000000000001
2006-09-09,0,0,False,0.0,0.0
2006-09-10,0,0,False,0.0,0.0
2006-09-11,50,50,False,0.5,25.0
2006-09-12,25,25,False,0.25,6.25
2006-09-13,74,74,False,0.74,54.76
2006-09-14,0,0,False,0.0,0.0
2006-09-15,27,27,False,0.27,7.290000000000001
2006-09-16,39,39,False,0.39,15.21
2006-09-17,39,39,False,0.39,15.21
2006-09-18,76,76,False,0.76,57.76
2006-09-19,97,97,False,0.97,94.09
2006-09-20,25,25,False,0.25,6.25
2006-09-21,76,76,False,0.76,57.76
2006-09-22,27,27,False,0.27,7.290000000000001
2006-09-23,39,39,False,0.39,15.21
2006-09-24,38,38,False,0.38,14.44
2006-09-25,74,74,False,0.74,54.76
2006-09-26,49,49,False,0.49,24.009999999999998
2006-09-27,74,74,False,0.74,54.76
2006-09-28,100,100,False,1.0,100.0
2006-09-29,0,0,False,0.0,0.0
2006-09-30,0,0,False,0.0,0.0
2006-10-01,100,100,False,1.0,100.0
2006-10-02,42,42,False,0.42,17.64
2006-10-03,52,52,False,0.52,27.04
2006-10-04,52,52,False,0.52,27.04
2006-10-05,43,43,False,0.43,18.49
2006-10-06,68,68,False,0.68,46.24
2006-10-07,69,69,False,0.69,47.61
2006-10-08,34,34,False,0.34,11.56
2006-10-09,0,0,False,0.0,0.0
