date,the deficit_unscaled,the deficit_monthly,isPartial,scale,the deficit
2006-03-21,0,0,False,0.0,0.0
2006-03-22,0,0,False,0.0,0.0
2006-03-23,0,0,False,0.0,0.0
2006-03-24,49,49,False,0.49,24.009999999999998
2006-03-25,72,72,False,0.72,51.839999999999996
2006-03-26,0,0,False,0.0,0.0
2006-03-27,46,46,False,0.46,21.16
2006-03-28,89,89,False,0.89,79.21000000000001
2006-03-29,46,46,False,0.46,21.16
2006-03-30,47,47,False,0.47,22.09
2006-03-31,100,100,False,1.0,100.0
2006-04-01,50,50,False,0.5,25.0
2006-04-02,0,0,False,0.0,0.0
2006-04-03,92,92,False,0.92,84.64
2006-04-04,0,0,False,0.0,0.0
2006-04-05,0,0,False,0.0,0.0
2006-04-06,0,0,False,0.0,0.0
2006-04-07,33,33,False,0.33,10.89
2006-04-08,49,49,False,0.49,24.009999999999998
2006-04-09,50,50,False,0.5,25.0
2006-04-10,62,62,False,0.62,38.44
2006-04-11,30,30,False,0.3,9.0
2006-04-12,31,31,False,0.31,9.61
2006-04-13,32,32,False,0.32,10.24
2006-04-14,0,0,False,0.0,0.0
2006-04-15,0,0,False,0.0,0.0
2006-04-16,0,0,False,0.0,0.0
2006-04-17,62,62,False,0.62,38.44
2006-04-18,0,0,False,0.0,0.0
2006-04-19,61,61,False,0.61,37.21
2006-04-20,31,31,False,0.31,9.61
2006-04-21,0,0,False,0.0,0.0
2006-04-22,0,0,False,0.0,0.0
2006-04-23,0,0,False,0.0,0.0
2006-04-24,29,29,False,0.29,8.41
2006-04-25,0,0,False,0.0,0.0
2006-04-26,0,0,False,0.0,0.0
2006-04-27,30,30,False,0.3,9.0
2006-04-28,98,98,False,0.98,96.03999999999999
2006-04-29,100,100,False,1.0,100.0
2006-04-30,49,49,False,0.49,24.009999999999998
2006-05-01,100,100,False,1.0,100.0
2006-05-02,24,24,False,0.24,5.76
2006-05-03,0,0,False,0.0,0.0
2006-05-04,25,25,False,0.25,6.25
2006-05-05,27,27,False,0.27,7.290000000000001
2006-05-06,85,85,False,0.85,72.25
2006-05-07,0,0,False,0.0,0.0
2006-05-08,25,25,False,0.25,6.25
2006-05-09,49,49,False,0.49,24.009999999999998
2006-05-10,25,25,False,0.25,6.25
2006-05-11,0,0,False,0.0,0.0
2006-05-12,54,54,False,0.54,29.160000000000004
2006-05-13,0,0,False,0.0,0.0
2006-05-14,0,0,False,0.0,0.0
2006-05-15,25,25,False,0.25,6.25
2006-05-16,50,50,False,0.5,25.0
2006-05-17,0,0,False,0.0,0.0
2006-05-18,52,52,False,0.52,27.04
2006-05-19,0,0,False,0.0,0.0
2006-05-20,0,0,False,0.0,0.0
2006-05-21,0,0,False,0.0,0.0
2006-05-22,0,0,False,0.0,0.0
2006-05-23,50,50,False,0.5,25.0
2006-05-24,0,0,False,0.0,0.0
2006-05-25,0,0,False,0.0,0.0
2006-05-26,29,29,False,0.29,8.41
2006-05-27,46,46,False,0.46,21.16
2006-05-28,0,0,False,0.0,0.0
2006-05-29,0,0,False,0.0,0.0
2006-05-30,0,0,False,0.0,0.0
2006-05-31,51,51,False,0.51,26.01
2006-06-01,0,0,False,0.0,0.0
2006-06-02,0,0,False,0.0,0.0
2006-06-03,0,0,False,0.0,0.0
2006-06-04,0,0,False,0.0,0.0
2006-06-05,48,48,False,0.48,23.04
2006-06-06,0,0,False,0.0,0.0
2006-06-07,47,47,False,0.47,22.09
2006-06-08,0,0,False,0.0,0.0
2006-06-09,0,0,False,0.0,0.0
2006-06-10,0,0,False,0.0,0.0
2006-06-11,0,0,False,0.0,0.0
2006-06-12,0,0,False,0.0,0.0
2006-06-13,48,48,False,0.48,23.04
2006-06-14,0,0,False,0.0,0.0
2006-06-15,0,0,False,0.0,0.0
2006-06-16,54,54,False,0.54,29.160000000000004
2006-06-17,83,83,False,0.83,68.89
2006-06-18,0,0,False,0.0,0.0
2006-06-19,0,0,False,0.0,0.0
2006-06-20,97,97,False,0.97,94.09
2006-06-21,100,100,False,1.0,100.0
2006-06-22,0,0,False,0.0,0.0
2006-06-23,0,0,False,0.0,0.0
2006-06-24,0,0,False,0.0,0.0
2006-06-25,0,0,False,0.0,0.0
2006-06-26,0,0,False,0.0,0.0
2006-06-27,0,0,False,0.0,0.0
2006-06-28,0,0,False,0.0,0.0
2006-06-29,0,0,False,0.0,0.0
2006-06-30,0,0,False,0.0,0.0
2006-07-01,0,0,False,0.0,0.0
2006-07-02,0,0,False,0.0,0.0
2006-07-03,0,0,False,0.0,0.0
2006-07-04,0,0,False,0.0,0.0
2006-07-05,0,0,False,0.0,0.0
2006-07-06,32,32,False,0.32,10.24
2006-07-07,0,0,False,0.0,0.0
2006-07-08,100,100,False,1.0,100.0
2006-07-09,52,52,False,0.52,27.04
2006-07-10,32,32,False,0.32,10.24
2006-07-11,61,61,False,0.61,37.21
2006-07-12,31,31,False,0.31,9.61
2006-07-13,0,0,False,0.0,0.0
2006-07-14,34,34,False,0.34,11.56
2006-07-15,0,0,False,0.0,0.0
2006-07-16,0,0,False,0.0,0.0
2006-07-17,0,0,False,0.0,0.0
2006-07-18,0,0,False,0.0,0.0
2006-07-19,0,0,False,0.0,0.0
2006-07-20,0,0,False,0.0,0.0
2006-07-21,0,0,False,0.0,0.0
2006-07-22,0,0,False,0.0,0.0
2006-07-23,0,0,False,0.0,0.0
