date,profit_unscaled,profit_monthly,isPartial,scale,profit
2006-03-10,74,74,False,0.74,54.76
2006-03-11,62,62,False,0.62,38.44
2006-03-12,48,48,False,0.48,23.04
2006-03-13,70,70,False,0.7,49.0
2006-03-14,74,74,False,0.74,54.76
2006-03-15,78,78,False,0.78,60.84
2006-03-16,52,52,False,0.52,27.04
2006-03-17,73,73,False,0.73,53.29
2006-03-18,65,65,False,0.65,42.25
2006-03-19,63,63,False,0.63,39.69
2006-03-20,58,58,False,0.58,33.64
2006-03-21,82,82,False,0.82,67.24
2006-03-22,53,53,False,0.53,28.09
2006-03-23,67,67,False,0.67,44.89
2006-03-24,59,59,False,0.59,34.809999999999995
2006-03-25,34,34,False,0.34,11.56
2006-03-26,40,40,False,0.4,16.0
2006-03-27,92,92,False,0.92,84.64
2006-03-28,80,80,False,0.8,64.0
2006-03-29,64,64,False,0.64,40.96
2006-03-30,76,76,False,0.76,57.76
2006-03-31,76,76,False,0.76,57.76
2006-04-01,42,42,False,0.42,17.64
2006-04-02,56,56,False,0.56,31.360000000000003
2006-04-03,79,79,False,0.79,62.410000000000004
2006-04-04,70,70,False,0.7,49.0
2006-04-05,91,91,False,0.91,82.81
2006-04-06,65,65,False,0.65,42.25
2006-04-07,79,79,False,0.79,62.410000000000004
2006-04-08,55,55,False,0.55,30.250000000000004
2006-04-09,70,70,False,0.7,49.0
2006-04-10,76,76,False,0.76,57.76
2006-04-11,84,84,False,0.84,70.56
2006-04-12,84,84,False,0.84,70.56
2006-04-13,85,85,False,0.85,72.25
2006-04-14,65,65,False,0.65,42.25
2006-04-15,47,47,False,0.47,22.09
2006-04-16,34,34,False,0.34,11.56
2006-04-17,85,85,False,0.85,72.25
2006-04-18,86,86,False,0.86,73.96
2006-04-19,87,87,False,0.87,75.69
2006-04-20,91,91,False,0.91,82.81
2006-04-21,77,77,False,0.77,59.29
2006-04-22,89,89,False,0.89,79.21000000000001
2006-04-23,40,40,False,0.4,16.0
2006-04-24,97,97,False,0.97,94.09
2006-04-25,77,77,False,0.77,59.29
2006-04-26,77,77,False,0.77,59.29
2006-04-27,88,88,False,0.88,77.44
2006-04-28,100,100,False,1.0,100.0
2006-04-29,59,59,False,0.59,34.809999999999995
2006-04-30,69,69,False,0.69,47.61
2006-05-01,72,72,False,0.72,51.839999999999996
2006-05-02,91,91,False,0.91,82.81
2006-05-03,100,100,False,1.0,100.0
2006-05-04,67,67,False,0.67,44.89
2006-05-05,67,67,False,0.67,44.89
2006-05-06,60,60,False,0.6,36.0
2006-05-07,55,55,False,0.55,30.250000000000004
2006-05-08,81,81,False,0.81,65.61
2006-05-09,97,97,False,0.97,94.09
2006-05-10,78,78,False,0.78,60.84
2006-05-11,57,57,False,0.57,32.489999999999995
2006-05-12,58,58,False,0.58,33.64
2006-05-13,28,28,False,0.28,7.840000000000001
2006-05-14,32,32,False,0.32,10.24
2006-05-15,54,54,False,0.54,29.160000000000004
2006-05-16,75,75,False,0.75,56.25
2006-05-17,62,62,False,0.62,38.44
2006-05-18,63,63,False,0.63,39.69
2006-05-19,52,52,False,0.52,27.04
2006-05-20,40,40,False,0.4,16.0
2006-05-21,28,28,False,0.28,7.840000000000001
2006-05-22,47,47,False,0.47,22.09
2006-05-23,54,54,False,0.54,29.160000000000004
2006-05-24,92,92,False,0.92,84.64
2006-05-25,61,61,False,0.61,37.21
2006-05-26,67,67,False,0.67,44.89
2006-05-27,42,42,False,0.42,17.64
2006-05-28,49,49,False,0.49,24.009999999999998
2006-05-29,37,37,False,0.37,13.69
2006-05-30,60,60,False,0.6,36.0
2006-05-31,59,59,False,0.59,34.809999999999995
2006-06-01,77,77,False,0.77,59.29
2006-06-02,57,57,False,0.57,32.489999999999995
2006-06-03,36,36,False,0.36,12.959999999999999
2006-06-04,51,51,False,0.51,26.01
2006-06-05,51,51,False,0.51,26.01
2006-06-06,52,52,False,0.52,27.04
2006-06-07,66,66,False,0.66,43.56
2006-06-08,70,70,False,0.7,49.0
2006-06-09,69,69,False,0.69,47.61
2006-06-10,58,58,False,0.58,33.64
2006-06-11,69,69,False,0.69,47.61
2006-06-12,73,73,False,0.73,53.29
2006-06-13,69,69,False,0.69,47.61
2006-06-14,75,75,False,0.75,56.25
2006-06-15,68,68,False,0.68,46.24
