date,loan_unscaled,loan_monthly,isPartial,scale,loan
2006-01-03,74,69.0,,0.69,51.059999999999995
2006-01-04,91,69.0,,0.69,62.78999999999999
2006-01-05,81,69.0,,0.69,55.88999999999999
2006-01-06,83,69.0,,0.69,57.269999999999996
2006-01-07,63,69.0,,0.69,43.47
2006-01-08,67,69.0,,0.69,46.23
2006-01-09,90,69.0,,0.69,62.099999999999994
2006-01-10,94,69.0,,0.69,64.86
2006-01-11,83,69.0,,0.69,57.269999999999996
2006-01-12,76,69.0,,0.69,52.44
2006-01-13,90,69.0,,0.69,62.099999999999994
2006-01-14,72,69.0,,0.69,49.67999999999999
2006-01-15,57,69.0,,0.69,39.33
2006-01-16,75,69.0,,0.69,51.74999999999999
2006-01-17,100,69.0,,0.69,69.0
2006-01-18,85,69.0,,0.69,58.65
2006-01-19,79,69.0,,0.69,54.51
2006-01-20,91,69.0,,0.69,62.78999999999999
2006-01-21,72,69.0,,0.69,49.67999999999999
2006-01-22,66,69.0,,0.69,45.54
2006-01-23,85,69.0,,0.69,58.65
2006-01-24,87,69.0,,0.69,60.029999999999994
2006-01-25,85,69.0,,0.69,58.65
2006-01-26,80,69.0,,0.69,55.199999999999996
2006-01-27,78,69.0,,0.69,53.81999999999999
2006-01-28,72,69.0,,0.69,49.67999999999999
2006-01-29,69,69.0,,0.69,47.61
2006-01-30,96,69.0,,0.69,66.24
2006-01-31,85,69.0,,0.69,58.65
2006-02-01,95,66.0,False,0.66,62.7
2006-02-02,87,66.0,,0.66,57.42
2006-02-03,83,66.0,,0.66,54.78
2006-02-04,70,66.0,,0.66,46.2
2006-02-05,65,66.0,,0.66,42.9
2006-02-06,90,66.0,,0.66,59.400000000000006
2006-02-07,92,66.0,,0.66,60.720000000000006
2006-02-08,72,66.0,,0.66,47.52
2006-02-09,80,66.0,,0.66,52.800000000000004
2006-02-10,71,66.0,,0.66,46.86
2006-02-11,67,66.0,,0.66,44.22
2006-02-12,62,66.0,,0.66,40.92
2006-02-13,77,66.0,,0.66,50.82
2006-02-14,84,66.0,,0.66,55.440000000000005
2006-02-15,81,66.0,,0.66,53.46
2006-02-16,81,66.0,,0.66,53.46
2006-02-17,76,66.0,,0.66,50.160000000000004
2006-02-18,67,66.0,,0.66,44.22
2006-02-19,65,66.0,,0.66,42.9
2006-02-20,75,66.0,,0.66,49.5
2006-02-21,82,66.0,,0.66,54.120000000000005
2006-02-22,84,66.0,,0.66,55.440000000000005
2006-02-23,88,66.0,,0.66,58.080000000000005
2006-02-24,81,66.0,,0.66,53.46
2006-02-25,69,66.0,,0.66,45.54
2006-02-26,55,66.0,,0.66,36.300000000000004
2006-02-27,100,66.0,,0.66,66.0
2006-02-28,94,66.0,,0.66,62.040000000000006
2006-03-01,76,69.0,False,0.69,52.44
2006-03-02,88,69.0,,0.69,60.72
2006-03-03,72,69.0,,0.69,49.67999999999999
2006-03-04,67,69.0,,0.69,46.23
2006-03-05,81,69.0,,0.69,55.88999999999999
2006-03-06,85,69.0,,0.69,58.65
2006-03-07,87,69.0,,0.69,60.029999999999994
2006-03-08,86,69.0,,0.69,59.339999999999996
2006-03-09,87,69.0,,0.69,60.029999999999994
2006-03-10,79,69.0,,0.69,54.51
2006-03-11,64,69.0,,0.69,44.16
2006-03-12,69,69.0,,0.69,47.61
2006-03-13,87,69.0,,0.69,60.029999999999994
2006-03-14,92,69.0,,0.69,63.48
2006-03-15,80,69.0,,0.69,55.199999999999996
2006-03-16,86,69.0,,0.69,59.339999999999996
2006-03-17,84,69.0,,0.69,57.959999999999994
2006-03-18,75,69.0,,0.69,51.74999999999999
2006-03-19,73,69.0,,0.69,50.37
2006-03-20,85,69.0,,0.69,58.65
2006-03-21,95,69.0,,0.69,65.55
2006-03-22,82,69.0,,0.69,56.58
2006-03-23,86,69.0,,0.69,59.339999999999996
2006-03-24,76,69.0,,0.69,52.44
2006-03-25,68,69.0,,0.69,46.919999999999995
2006-03-26,71,69.0,,0.69,48.989999999999995
2006-03-27,95,69.0,,0.69,65.55
2006-03-28,100,69.0,,0.69,69.0
2006-03-29,83,69.0,,0.69,57.269999999999996
2006-03-30,87,69.0,,0.69,60.029999999999994
2006-03-31,78,69.0,,0.69,53.81999999999999
2006-04-01,75,72.0,False,0.72,54.0
2006-04-02,62,72.0,,0.72,44.64
2006-04-03,85,72.0,,0.72,61.199999999999996
2006-04-04,91,72.0,,0.72,65.52
2006-04-05,85,72.0,,0.72,61.199999999999996
2006-04-06,83,72.0,,0.72,59.76
2006-04-07,75,72.0,,0.72,54.0
2006-04-08,82,72.0,,0.72,59.04
2006-04-09,76,72.0,,0.72,54.72
2006-04-10,82,72.0,,0.72,59.04
2006-04-11,90,72.0,,0.72,64.8
2006-04-12,88,72.0,,0.72,63.36
2006-04-13,82,72.0,,0.72,59.04
2006-04-14,84,72.0,,0.72,60.48
2006-04-15,75,72.0,,0.72,54.0
2006-04-16,63,72.0,,0.72,45.36
2006-04-17,89,72.0,,0.72,64.08
2006-04-18,100,72.0,,0.72,72.0
2006-04-19,89,72.0,,0.72,64.08
2006-04-20,90,72.0,,0.72,64.8
2006-04-21,75,72.0,,0.72,54.0
2006-04-22,72,72.0,,0.72,51.839999999999996
2006-04-23,73,72.0,,0.72,52.559999999999995
2006-04-24,93,72.0,,0.72,66.96
2006-04-25,95,72.0,,0.72,68.39999999999999
2006-04-26,88,72.0,,0.72,63.36
2006-04-27,85,72.0,,0.72,61.199999999999996
2006-04-28,86,72.0,,0.72,61.919999999999995
2006-04-29,66,72.0,,0.72,47.519999999999996
2006-04-30,74,72.0,,0.72,53.28
