date,poverty line_unscaled,poverty line_monthly,isPartial,scale,poverty line
2006-03-15,41,41,False,0.41,16.81
2006-03-16,21,21,False,0.21,4.41
2006-03-17,46,46,False,0.46,21.16
2006-03-18,0,0,False,0.0,0.0
2006-03-19,0,0,False,0.0,0.0
2006-03-20,21,21,False,0.21,4.41
2006-03-21,30,30,False,0.3,9.0
2006-03-22,42,42,False,0.42,17.64
2006-03-23,21,21,False,0.21,4.41
2006-03-24,21,21,False,0.21,4.41
2006-03-25,0,0,False,0.0,0.0
2006-03-26,49,49,False,0.49,24.009999999999998
2006-03-27,21,21,False,0.21,4.41
2006-03-28,20,20,False,0.2,4.0
2006-03-29,31,31,False,0.31,9.61
2006-03-30,83,83,False,0.83,68.89
2006-03-31,0,0,False,0.0,0.0
2006-04-01,0,0,False,0.0,0.0
2006-04-02,35,35,False,0.35,12.25
2006-04-03,21,21,False,0.21,4.41
2006-04-04,42,42,False,0.42,17.64
2006-04-05,0,0,False,0.0,0.0
2006-04-06,22,22,False,0.22,4.84
2006-04-07,0,0,False,0.0,0.0
2006-04-08,34,34,False,0.34,11.56
2006-04-09,0,0,False,0.0,0.0
2006-04-10,43,43,False,0.43,18.49
2006-04-11,21,21,False,0.21,4.41
2006-04-12,43,43,False,0.43,18.49
2006-04-13,45,45,False,0.45,20.25
2006-04-14,38,38,False,0.38,14.44
2006-04-15,0,0,False,0.0,0.0
2006-04-16,0,0,False,0.0,0.0
2006-04-17,44,44,False,0.44,19.36
2006-04-18,21,21,False,0.21,4.41
2006-04-19,85,85,False,0.85,72.25
2006-04-20,43,43,False,0.43,18.49
2006-04-21,69,69,False,0.69,47.61
2006-04-22,67,67,False,0.67,44.89
2006-04-23,100,100,False,1.0,100.0
2006-04-24,21,21,False,0.21,4.41
2006-04-25,40,40,False,0.4,16.0
2006-04-26,21,21,False,0.21,4.41
2006-04-27,21,21,False,0.21,4.41
2006-04-28,0,0,False,0.0,0.0
2006-04-29,69,69,False,0.69,47.61
2006-04-30,0,0,False,0.0,0.0
2006-05-01,0,0,False,0.0,0.0
2006-05-02,56,56,False,0.56,31.360000000000003
2006-05-03,29,29,False,0.29,8.41
2006-05-04,0,0,False,0.0,0.0
2006-05-05,64,64,False,0.64,40.96
2006-05-06,49,49,False,0.49,24.009999999999998
2006-05-07,0,0,False,0.0,0.0
2006-05-08,58,58,False,0.58,33.64
2006-05-09,28,28,False,0.28,7.840000000000001
2006-05-10,0,0,False,0.0,0.0
2006-05-11,87,87,False,0.87,75.69
2006-05-12,63,63,False,0.63,39.69
2006-05-13,0,0,False,0.0,0.0
2006-05-14,50,50,False,0.5,25.0
2006-05-15,29,29,False,0.29,8.41
2006-05-16,72,72,False,0.72,51.839999999999996
2006-05-17,0,0,False,0.0,0.0
2006-05-18,45,45,False,0.45,20.25
2006-05-19,32,32,False,0.32,10.24
2006-05-20,100,100,False,1.0,100.0
2006-05-21,100,100,False,1.0,100.0
2006-05-22,30,30,False,0.3,9.0
2006-05-23,0,0,False,0.0,0.0
2006-05-24,0,0,False,0.0,0.0
2006-05-25,31,31,False,0.31,9.61
2006-05-26,0,0,False,0.0,0.0
2006-05-27,53,53,False,0.53,28.09
2006-05-28,57,57,False,0.57,32.489999999999995
2006-05-29,0,0,False,0.0,0.0
2006-05-30,61,61,False,0.61,37.21
2006-05-31,30,30,False,0.3,9.0
2006-06-01,21,21,False,0.21,4.41
2006-06-02,22,22,False,0.22,4.84
2006-06-03,0,0,False,0.0,0.0
2006-06-04,100,100,False,1.0,100.0
2006-06-05,61,61,False,0.61,37.21
2006-06-06,20,20,False,0.2,4.0
2006-06-07,20,20,False,0.2,4.0
2006-06-08,31,31,False,0.31,9.61
2006-06-09,22,22,False,0.22,4.84
2006-06-10,33,33,False,0.33,10.89
2006-06-11,0,0,False,0.0,0.0
2006-06-12,41,41,False,0.41,16.81
2006-06-13,20,20,False,0.2,4.0
2006-06-14,0,0,False,0.0,0.0
2006-06-15,65,65,False,0.65,42.25
2006-06-16,23,23,False,0.23,5.29
2006-06-17,0,0,False,0.0,0.0
2006-06-18,0,0,False,0.0,0.0
2006-06-19,21,21,False,0.21,4.41
2006-06-20,41,41,False,0.41,16.81
2006-06-21,21,21,False,0.21,4.41
2006-06-22,21,21,False,0.21,4.41
2006-06-23,22,22,False,0.22,4.84
2006-06-24,0,0,False,0.0,0.0
2006-06-25,0,0,False,0.0,0.0
2006-06-26,60,60,False,0.6,36.0
2006-06-27,40,40,False,0.4,16.0
2006-06-28,21,21,False,0.21,4.41
2006-06-29,21,21,False,0.21,4.41
2006-06-30,23,23,False,0.23,5.29
2006-07-01,0,0,False,0.0,0.0
2006-07-02,0,0,False,0.0,0.0
2006-07-03,38,38,False,0.38,14.44
2006-07-04,0,0,False,0.0,0.0
2006-07-05,33,33,False,0.33,10.89
2006-07-06,30,30,False,0.3,9.0
2006-07-07,0,0,False,0.0,0.0
2006-07-08,0,0,False,0.0,0.0
2006-07-09,100,100,False,1.0,100.0
2006-07-10,30,30,False,0.3,9.0
2006-07-11,30,30,False,0.3,9.0
2006-07-12,29,29,False,0.29,8.41
2006-07-13,31,31,False,0.31,9.61
2006-07-14,49,49,False,0.49,24.009999999999998
2006-07-15,0,0,False,0.0,0.0
2006-07-16,50,50,False,0.5,25.0
