date,BANKRUPT_unscaled,BANKRUPT_monthly,isPartial,scale,BANKRUPT
2009-12-04,78,39.0,,0.39,30.42
2009-12-05,69,39.0,,0.39,26.91
2009-12-06,55,39.0,,0.39,21.45
2009-12-07,70,39.0,,0.39,27.3
2009-12-08,46,39.0,,0.39,17.94
2009-12-09,50,39.0,,0.39,19.5
2009-12-10,100,39.0,,0.39,39.0
2009-12-11,61,39.0,,0.39,23.79
2009-12-12,30,39.0,,0.39,11.700000000000001
2009-12-13,40,39.0,,0.39,15.600000000000001
2009-12-14,54,39.0,,0.39,21.060000000000002
2009-12-15,50,39.0,,0.39,19.5
2009-12-16,45,39.0,,0.39,17.55
2009-12-17,57,39.0,,0.39,22.23
2009-12-18,65,39.0,,0.39,25.35
2009-12-19,32,39.0,,0.39,12.48
2009-12-20,32,39.0,,0.39,12.48
2009-12-21,57,39.0,,0.39,22.23
2009-12-22,43,39.0,,0.39,16.77
2009-12-23,55,39.0,,0.39,21.45
2009-12-24,42,39.0,,0.39,16.38
2009-12-25,42,39.0,,0.39,16.38
2009-12-26,54,39.0,,0.39,21.060000000000002
2009-12-27,93,39.0,,0.39,36.27
2009-12-28,66,39.0,,0.39,25.740000000000002
2009-12-29,60,39.0,,0.39,23.400000000000002
2009-12-30,45,39.0,,0.39,17.55
2009-12-31,50,39.0,,0.39,19.5
2010-01-01,21,45.0,False,0.45,9.450000000000001
2010-01-02,40,45.0,,0.45,18.0
2010-01-03,35,45.0,,0.45,15.75
2010-01-04,46,45.0,,0.45,20.7
2010-01-05,73,45.0,,0.45,32.85
2010-01-06,42,45.0,,0.45,18.900000000000002
2010-01-07,36,45.0,,0.45,16.2
2010-01-08,89,45.0,,0.45,40.050000000000004
2010-01-09,37,45.0,,0.45,16.650000000000002
2010-01-10,43,45.0,,0.45,19.35
2010-01-11,100,45.0,,0.45,45.0
2010-01-12,51,45.0,,0.45,22.95
2010-01-13,66,45.0,,0.45,29.7
2010-01-14,35,45.0,,0.45,15.75
2010-01-15,91,45.0,,0.45,40.95
2010-01-16,67,45.0,,0.45,30.150000000000002
2010-01-17,47,45.0,,0.45,21.150000000000002
2010-01-18,41,45.0,,0.45,18.45
2010-01-19,45,45.0,,0.45,20.25
2010-01-20,42,45.0,,0.45,18.900000000000002
2010-01-21,59,45.0,,0.45,26.55
2010-01-22,71,45.0,,0.45,31.95
2010-01-23,41,45.0,,0.45,18.45
2010-01-24,74,45.0,,0.45,33.300000000000004
2010-01-25,56,45.0,,0.45,25.2
2010-01-26,85,45.0,,0.45,38.25
2010-01-27,75,45.0,,0.45,33.75
2010-01-28,45,45.0,,0.45,20.25
2010-01-29,67,45.0,,0.45,30.150000000000002
2010-01-30,40,45.0,,0.45,18.0
2010-01-31,61,45.0,,0.45,27.45
2010-02-01,50,40.0,False,0.4,20.0
2010-02-02,59,40.0,,0.4,23.6
2010-02-03,65,40.0,,0.4,26.0
2010-02-04,77,40.0,,0.4,30.8
2010-02-05,43,40.0,,0.4,17.2
2010-02-06,62,40.0,,0.4,24.8
2010-02-07,28,40.0,,0.4,11.200000000000001
2010-02-08,51,40.0,,0.4,20.400000000000002
2010-02-09,86,40.0,,0.4,34.4
2010-02-10,43,40.0,,0.4,17.2
2010-02-11,100,40.0,,0.4,40.0
2010-02-12,66,40.0,,0.4,26.400000000000002
2010-02-13,20,40.0,,0.4,8.0
2010-02-14,25,40.0,,0.4,10.0
2010-02-15,35,40.0,,0.4,14.0
2010-02-16,50,40.0,,0.4,20.0
2010-02-17,31,40.0,,0.4,12.4
