date,BENEFITS_unscaled,BENEFITS_monthly,isPartial,scale,BENEFITS
2014-08-21,85,73.0,,0.73,62.05
2014-08-22,86,73.0,,0.73,62.78
2014-08-23,71,73.0,,0.73,51.83
2014-08-24,70,73.0,,0.73,51.1
2014-08-25,91,73.0,,0.73,66.42999999999999
2014-08-26,89,73.0,,0.73,64.97
2014-08-27,97,73.0,,0.73,70.81
2014-08-28,92,73.0,,0.73,67.16
2014-08-29,87,73.0,,0.73,63.51
2014-08-30,66,73.0,,0.73,48.18
2014-08-31,72,73.0,,0.73,52.56
2014-09-01,73,72.0,False,0.72,52.559999999999995
2014-09-02,88,72.0,,0.72,63.36
2014-09-03,88,72.0,,0.72,63.36
2014-09-04,87,72.0,,0.72,62.64
2014-09-05,86,72.0,,0.72,61.919999999999995
2014-09-06,73,72.0,,0.72,52.559999999999995
2014-09-07,69,72.0,,0.72,49.68
2014-09-08,96,72.0,,0.72,69.12
2014-09-09,96,72.0,,0.72,69.12
2014-09-10,92,72.0,,0.72,66.24
2014-09-11,91,72.0,,0.72,65.52
2014-09-12,84,72.0,,0.72,60.48
2014-09-13,66,72.0,,0.72,47.519999999999996
2014-09-14,76,72.0,,0.72,54.72
2014-09-15,95,72.0,,0.72,68.39999999999999
2014-09-16,94,72.0,,0.72,67.67999999999999
2014-09-17,100,72.0,,0.72,72.0
2014-09-18,95,72.0,,0.72,68.39999999999999
2014-09-19,89,72.0,,0.72,64.08
2014-09-20,64,72.0,,0.72,46.08
2014-09-21,78,72.0,,0.72,56.16
2014-09-22,91,72.0,,0.72,65.52
2014-09-23,95,72.0,,0.72,68.39999999999999
2014-09-24,89,72.0,,0.72,64.08
2014-09-25,88,72.0,,0.72,63.36
2014-09-26,77,72.0,,0.72,55.44
2014-09-27,66,72.0,,0.72,47.519999999999996
2014-09-28,73,72.0,,0.72,52.559999999999995
2014-09-29,99,72.0,,0.72,71.28
2014-09-30,98,72.0,,0.72,70.56
2014-10-01,92,75.0,False,0.75,69.0
2014-10-02,90,75.0,,0.75,67.5
2014-10-03,85,75.0,,0.75,63.75
2014-10-04,60,75.0,,0.75,45.0
2014-10-05,74,75.0,,0.75,55.5
2014-10-06,94,75.0,,0.75,70.5
2014-10-07,92,75.0,,0.75,69.0
2014-10-08,93,75.0,,0.75,69.75
2014-10-09,91,75.0,,0.75,68.25
2014-10-10,81,75.0,,0.75,60.75
2014-10-11,61,75.0,,0.75,45.75
2014-10-12,71,75.0,,0.75,53.25
2014-10-13,82,75.0,,0.75,61.5
2014-10-14,90,75.0,,0.75,67.5
2014-10-15,90,75.0,,0.75,67.5
2014-10-16,90,75.0,,0.75,67.5
2014-10-17,82,75.0,,0.75,61.5
2014-10-18,66,75.0,,0.75,49.5
2014-10-19,73,75.0,,0.75,54.75
2014-10-20,93,75.0,,0.75,69.75
2014-10-21,100,75.0,,0.75,75.0
2014-10-22,91,75.0,,0.75,68.25
2014-10-23,92,75.0,,0.75,69.0
2014-10-24,83,75.0,,0.75,62.25
2014-10-25,63,75.0,,0.75,47.25
2014-10-26,67,75.0,,0.75,50.25
2014-10-27,97,75.0,,0.75,72.75
2014-10-28,96,75.0,,0.75,72.0
2014-10-29,95,75.0,,0.75,71.25
2014-10-30,90,75.0,,0.75,67.5
2014-10-31,85,75.0,,0.75,63.75
2014-11-01,61,73.0,False,0.73,44.53
2014-11-02,64,73.0,,0.73,46.72
2014-11-03,92,73.0,,0.73,67.16
2014-11-04,92,73.0,,0.73,67.16
2014-11-05,89,73.0,,0.73,64.97
