date,bankruptcy court_unscaled,bankruptcy court_monthly,isPartial,scale,bankruptcy court
2005-09-25,26,26,False,0.26,6.76
2005-09-26,48,48,False,0.48,23.04
2005-09-27,55,55,False,0.55,30.250000000000004
2005-09-28,87,87,False,0.87,75.69
2005-09-29,56,56,False,0.56,31.360000000000003
2005-09-30,26,26,False,0.26,6.76
2005-10-01,0,0,False,0.0,0.0
2005-10-02,0,0,False,0.0,0.0
2005-10-03,43,43,False,0.43,18.49
2005-10-04,49,49,False,0.49,24.009999999999998
2005-10-05,85,85,False,0.85,72.25
2005-10-06,100,100,False,1.0,100.0
2005-10-07,8,8,False,0.08,0.64
2005-10-08,23,23,False,0.23,5.29
2005-10-09,12,12,False,0.12,1.44
2005-10-10,52,52,False,0.52,27.04
2005-10-11,49,49,False,0.49,24.009999999999998
2005-10-12,70,70,False,0.7,49.0
2005-10-13,78,78,False,0.78,60.84
2005-10-14,86,86,False,0.86,73.96
2005-10-15,0,0,False,0.0,0.0
2005-10-16,23,23,False,0.23,5.29
2005-10-17,43,43,False,0.43,18.49
2005-10-18,91,91,False,0.91,82.81
2005-10-19,42,42,False,0.42,17.64
2005-10-20,28,28,False,0.28,7.840000000000001
2005-10-21,8,8,False,0.08,0.64
2005-10-22,12,12,False,0.12,1.44
2005-10-23,0,0,False,0.0,0.0
2005-10-24,83,83,False,0.83,68.89
2005-10-25,41,41,False,0.41,16.81
2005-10-26,77,77,False,0.77,59.29
2005-10-27,29,29,False,0.29,8.41
2005-10-28,30,30,False,0.3,9.0
2005-10-29,36,36,False,0.36,12.959999999999999
2005-10-30,24,24,False,0.24,5.76
2005-10-31,36,36,False,0.36,12.959999999999999
2005-11-01,21,21,False,0.21,4.41
2005-11-02,81,81,False,0.81,65.61
2005-11-03,62,62,False,0.62,38.44
2005-11-04,65,65,False,0.65,42.25
2005-11-05,0,0,False,0.0,0.0
2005-11-06,0,0,False,0.0,0.0
2005-11-07,60,60,False,0.6,36.0
2005-11-08,88,88,False,0.88,77.44
2005-11-09,33,33,False,0.33,10.89
2005-11-10,43,43,False,0.43,18.49
2005-11-11,80,80,False,0.8,64.0
2005-11-12,33,33,False,0.33,10.89
2005-11-13,16,16,False,0.16,2.56
2005-11-14,100,100,False,1.0,100.0
2005-11-15,49,49,False,0.49,24.009999999999998
2005-11-16,59,59,False,0.59,34.809999999999995
2005-11-17,60,60,False,0.6,36.0
2005-11-18,65,65,False,0.65,42.25
2005-11-19,16,16,False,0.16,2.56
2005-11-20,16,16,False,0.16,2.56
