date,the patron_unscaled,the patron_monthly,isPartial,scale,the patron
2006-02-13,21,67.0,,0.67,14.07
2006-02-14,41,67.0,,0.67,27.470000000000002
2006-02-15,21,67.0,,0.67,14.07
2006-02-16,0,67.0,,0.67,0.0
2006-02-17,0,67.0,,0.67,0.0
2006-02-18,64,67.0,,0.67,42.88
2006-02-19,32,67.0,,0.67,21.44
2006-02-20,93,67.0,,0.67,62.31
2006-02-21,0,67.0,,0.67,0.0
2006-02-22,0,67.0,,0.67,0.0
2006-02-23,0,67.0,,0.67,0.0
2006-02-24,21,67.0,,0.67,14.07
2006-02-25,100,67.0,,0.67,67.0
2006-02-26,33,67.0,,0.67,22.110000000000003
2006-02-27,0,67.0,,0.67,0.0
2006-02-28,0,67.0,,0.67,0.0
2006-03-01,18,68.0,False,0.68,12.24
2006-03-02,55,68.0,,0.68,37.400000000000006
2006-03-03,0,68.0,,0.68,0.0
2006-03-04,0,68.0,,0.68,0.0
2006-03-05,0,68.0,,0.68,0.0
2006-03-06,0,68.0,,0.68,0.0
2006-03-07,18,68.0,,0.68,12.24
2006-03-08,18,68.0,,0.68,12.24
2006-03-09,19,68.0,,0.68,12.920000000000002
2006-03-10,20,68.0,,0.68,13.600000000000001
2006-03-11,60,68.0,,0.68,40.800000000000004
2006-03-12,59,68.0,,0.68,40.120000000000005
2006-03-13,74,68.0,,0.68,50.32
2006-03-14,0,68.0,,0.68,0.0
2006-03-15,19,68.0,,0.68,12.920000000000002
2006-03-16,56,68.0,,0.68,38.080000000000005
2006-03-17,100,68.0,,0.68,68.0
2006-03-18,0,68.0,,0.68,0.0
2006-03-19,0,68.0,,0.68,0.0
2006-03-20,18,68.0,,0.68,12.24
2006-03-21,36,68.0,,0.68,24.48
2006-03-22,0,68.0,,0.68,0.0
2006-03-23,18,68.0,,0.68,12.24
2006-03-24,20,68.0,,0.68,13.600000000000001
2006-03-25,0,68.0,,0.68,0.0
2006-03-26,29,68.0,,0.68,19.720000000000002
2006-03-27,55,68.0,,0.68,37.400000000000006
2006-03-28,35,68.0,,0.68,23.8
2006-03-29,36,68.0,,0.68,24.48
2006-03-30,18,68.0,,0.68,12.24
2006-03-31,39,68.0,,0.68,26.520000000000003
2006-04-01,0,57.0,False,0.57,0.0
2006-04-02,100,57.0,,0.57,56.99999999999999
2006-04-03,62,57.0,,0.57,35.339999999999996
2006-04-04,20,57.0,,0.57,11.399999999999999
2006-04-05,0,57.0,,0.57,0.0
2006-04-06,41,57.0,,0.57,23.369999999999997
2006-04-07,22,57.0,,0.57,12.54
2006-04-08,32,57.0,,0.57,18.24
2006-04-09,34,57.0,,0.57,19.38
2006-04-10,41,57.0,,0.57,23.369999999999997
2006-04-11,61,57.0,,0.57,34.769999999999996
2006-04-12,21,57.0,,0.57,11.969999999999999
2006-04-13,22,57.0,,0.57,12.54
2006-04-14,25,57.0,,0.57,14.249999999999998
2006-04-15,35,57.0,,0.57,19.95
2006-04-16,36,57.0,,0.57,20.52
2006-04-17,0,57.0,,0.57,0.0
