date,cost plus_unscaled,cost plus_monthly,isPartial,scale,cost plus
2006-08-14,41,41,False,0.41,16.81
2006-08-15,22,22,False,0.22,4.84
2006-08-16,36,36,False,0.36,12.959999999999999
2006-08-17,32,32,False,0.32,10.24
2006-08-18,24,24,False,0.24,5.76
2006-08-19,69,69,False,0.69,47.61
2006-08-20,14,14,False,0.14,1.9600000000000002
2006-08-21,27,27,False,0.27,7.290000000000001
2006-08-22,39,39,False,0.39,15.21
2006-08-23,30,30,False,0.3,9.0
2006-08-24,26,26,False,0.26,6.76
2006-08-25,55,55,False,0.55,30.250000000000004
2006-08-26,100,100,False,1.0,100.0
2006-08-27,53,53,False,0.53,28.09
2006-08-28,30,30,False,0.3,9.0
2006-08-29,29,29,False,0.29,8.41
2006-08-30,38,38,False,0.38,14.44
2006-08-31,13,13,False,0.13,1.69
2006-09-01,60,60,False,0.6,36.0
2006-09-02,43,43,False,0.43,18.49
2006-09-03,90,90,False,0.9,81.0
2006-09-04,84,84,False,0.84,70.56
2006-09-05,53,53,False,0.53,28.09
2006-09-06,53,53,False,0.53,28.09
2006-09-07,34,34,False,0.34,11.56
2006-09-08,35,35,False,0.35,12.25
2006-09-09,61,61,False,0.61,37.21
2006-09-10,100,100,False,1.0,100.0
2006-09-11,39,39,False,0.39,15.21
2006-09-12,51,51,False,0.51,26.01
2006-09-13,33,33,False,0.33,10.89
2006-09-14,46,46,False,0.46,21.16
2006-09-15,56,56,False,0.56,31.360000000000003
2006-09-16,21,21,False,0.21,4.41
2006-09-17,40,40,False,0.4,16.0
2006-09-18,52,52,False,0.52,27.04
2006-09-19,39,39,False,0.39,15.21
2006-09-20,59,59,False,0.59,34.809999999999995
2006-09-21,33,33,False,0.33,10.89
2006-09-22,35,35,False,0.35,12.25
2006-09-23,70,70,False,0.7,49.0
2006-09-24,49,49,False,0.49,24.009999999999998
2006-09-25,58,58,False,0.58,33.64
2006-09-26,64,64,False,0.64,40.96
2006-09-27,65,65,False,0.65,42.25
2006-09-28,33,33,False,0.33,10.89
