date,low cost_unscaled,low cost_monthly,isPartial,scale,low cost
2005-12-24,56,56,False,0.56,31.360000000000003
2005-12-25,17,17,False,0.17,2.89
2005-12-26,13,13,False,0.13,1.69
2005-12-27,18,18,False,0.18,3.2399999999999998
2005-12-28,42,42,False,0.42,17.64
2005-12-29,100,100,False,1.0,100.0
2005-12-30,18,18,False,0.18,3.2399999999999998
2005-12-31,24,24,False,0.24,5.76
2006-01-01,32,32,False,0.32,10.24
2006-01-02,29,29,False,0.29,8.41
2006-01-03,50,50,False,0.5,25.0
2006-01-04,42,42,False,0.42,17.64
2006-01-05,43,43,False,0.43,18.49
2006-01-06,22,22,False,0.22,4.84
2006-01-07,49,49,False,0.49,24.009999999999998
2006-01-08,100,100,False,1.0,100.0
2006-01-09,21,21,False,0.21,4.41
2006-01-10,67,67,False,0.67,44.89
2006-01-11,41,41,False,0.41,16.81
2006-01-12,21,21,False,0.21,4.41
2006-01-13,49,49,False,0.49,24.009999999999998
2006-01-14,47,47,False,0.47,22.09
2006-01-15,50,50,False,0.5,25.0
2006-01-16,23,23,False,0.23,5.29
2006-01-17,50,50,False,0.5,25.0
2006-01-18,61,61,False,0.61,37.21
2006-01-19,36,36,False,0.36,12.959999999999999
2006-01-20,43,43,False,0.43,18.49
2006-01-21,23,23,False,0.23,5.29
2006-01-22,31,31,False,0.31,9.61
2006-01-23,30,30,False,0.3,9.0
2006-01-24,54,54,False,0.54,29.160000000000004
2006-01-25,59,59,False,0.59,34.809999999999995
2006-01-26,40,40,False,0.4,16.0
2006-01-27,37,37,False,0.37,13.69
2006-01-28,70,70,False,0.7,49.0
2006-01-29,23,23,False,0.23,5.29
2006-01-30,30,30,False,0.3,9.0
2006-01-31,52,52,False,0.52,27.04
2006-02-01,84,84,False,0.84,70.56
2006-02-02,67,67,False,0.67,44.89
2006-02-03,80,80,False,0.8,64.0
2006-02-04,65,65,False,0.65,42.25
2006-02-05,79,79,False,0.79,62.410000000000004
2006-02-06,61,61,False,0.61,37.21
2006-02-07,41,41,False,0.41,16.81
2006-02-08,24,24,False,0.24,5.76
2006-02-09,84,84,False,0.84,70.56
2006-02-10,79,79,False,0.79,62.410000000000004
2006-02-11,89,89,False,0.89,79.21000000000001
2006-02-12,100,100,False,1.0,100.0
2006-02-13,100,100,False,1.0,100.0
2006-02-14,42,42,False,0.42,17.64
2006-02-15,60,60,False,0.6,36.0
2006-02-16,59,59,False,0.59,34.809999999999995
2006-02-17,71,71,False,0.71,50.41
2006-02-18,90,90,False,0.9,81.0
2006-02-19,26,26,False,0.26,6.76
2006-02-20,93,93,False,0.93,86.49000000000001
2006-02-21,99,99,False,0.99,98.01
2006-02-22,58,58,False,0.58,33.64
2006-02-23,58,58,False,0.58,33.64
2006-02-24,70,70,False,0.7,49.0
2006-02-25,41,41,False,0.41,16.81
2006-02-26,91,91,False,0.91,82.81
2006-02-27,24,24,False,0.24,5.76
2006-02-28,24,24,False,0.24,5.76
2006-03-01,31,31,False,0.31,9.61
2006-03-02,32,32,False,0.32,10.24
2006-03-03,59,59,False,0.59,34.809999999999995
2006-03-04,29,29,False,0.29,8.41
2006-03-05,78,78,False,0.78,60.84
2006-03-06,63,63,False,0.63,39.69
2006-03-07,62,62,False,0.62,38.44
2006-03-08,49,49,False,0.49,24.009999999999998
2006-03-09,63,63,False,0.63,39.69
2006-03-10,67,67,False,0.67,44.89
2006-03-11,30,30,False,0.3,9.0
2006-03-12,40,40,False,0.4,16.0
2006-03-13,63,63,False,0.63,39.69
2006-03-14,74,74,False,0.74,54.76
2006-03-15,25,25,False,0.25,6.25
2006-03-16,19,19,False,0.19,3.61
2006-03-17,68,68,False,0.68,46.24
2006-03-18,100,100,False,1.0,100.0
2006-03-19,87,87,False,0.87,75.69
2006-03-20,25,25,False,0.25,6.25
2006-03-21,84,84,False,0.84,70.56
2006-03-22,86,86,False,0.86,73.96
2006-03-23,56,56,False,0.56,31.360000000000003
2006-03-24,79,79,False,0.79,62.410000000000004
2006-03-25,68,68,False,0.68,46.24
2006-03-26,60,60,False,0.6,36.0
2006-03-27,68,68,False,0.68,46.24
2006-03-28,84,84,False,0.84,70.56
2006-03-29,44,44,False,0.44,19.36
2006-03-30,51,51,False,0.51,26.01
2006-03-31,34,34,False,0.34,11.56
2006-04-01,53,53,False,0.53,28.09
2006-04-02,48,48,False,0.48,23.04
2006-04-03,51,51,False,0.51,26.01
2006-04-04,64,64,False,0.64,40.96
2006-04-05,66,66,False,0.66,43.56
2006-04-06,52,52,False,0.52,27.04
2006-04-07,67,67,False,0.67,44.89
2006-04-08,64,64,False,0.64,40.96
2006-04-09,60,60,False,0.6,36.0
2006-04-10,100,100,False,1.0,100.0
2006-04-11,55,55,False,0.55,30.250000000000004
2006-04-12,63,63,False,0.63,39.69
2006-04-13,39,39,False,0.39,15.21
2006-04-14,62,62,False,0.62,38.44
2006-04-15,12,12,False,0.12,1.44
2006-04-16,32,32,False,0.32,10.24
2006-04-17,52,52,False,0.52,27.04
2006-04-18,68,68,False,0.68,46.24
2006-04-19,69,69,False,0.69,47.61
2006-04-20,33,33,False,0.33,10.89
2006-04-21,56,56,False,0.56,31.360000000000003
2006-04-22,35,35,False,0.35,12.25
2006-04-23,57,57,False,0.57,32.489999999999995
2006-04-24,74,74,False,0.74,54.76
2006-04-25,48,48,False,0.48,23.04
2006-04-26,78,78,False,0.78,60.84
2006-04-27,44,44,False,0.44,19.36
2006-04-28,63,63,False,0.63,39.69
2006-04-29,84,84,False,0.84,70.56
2006-04-30,52,52,False,0.52,27.04
2006-05-01,65,65,False,0.65,42.25
2006-05-02,56,56,False,0.56,31.360000000000003
2006-05-03,64,64,False,0.64,40.96
2006-05-04,73,73,False,0.73,53.29
2006-05-05,24,24,False,0.24,5.76
2006-05-06,37,37,False,0.37,13.69
2006-05-07,49,49,False,0.49,24.009999999999998
2006-05-08,100,100,False,1.0,100.0
2006-05-09,42,42,False,0.42,17.64
2006-05-10,22,22,False,0.22,4.84
2006-05-11,72,72,False,0.72,51.839999999999996
2006-05-12,47,47,False,0.47,22.09
2006-05-13,97,97,False,0.97,94.09
2006-05-14,37,37,False,0.37,13.69
2006-05-15,65,65,False,0.65,42.25
2006-05-16,58,58,False,0.58,33.64
2006-05-17,73,73,False,0.73,53.29
2006-05-18,60,60,False,0.6,36.0
2006-05-19,48,48,False,0.48,23.04
2006-05-20,62,62,False,0.62,38.44
2006-05-21,50,50,False,0.5,25.0
2006-05-22,44,44,False,0.44,19.36
2006-05-23,80,80,False,0.8,64.0
2006-05-24,37,37,False,0.37,13.69
2006-05-25,61,61,False,0.61,37.21
2006-05-26,34,34,False,0.34,11.56
2006-05-27,26,26,False,0.26,6.76
2006-05-28,100,100,False,1.0,100.0
2006-05-29,96,96,False,0.96,92.16
2006-05-30,68,68,False,0.68,46.24
2006-05-31,44,44,False,0.44,19.36
2006-06-01,52,52,False,0.52,27.04
2006-06-02,27,27,False,0.27,7.290000000000001
2006-06-03,73,73,False,0.73,53.29
2006-06-04,84,84,False,0.84,70.56
2006-06-05,39,39,False,0.39,15.21
2006-06-06,25,25,False,0.25,6.25
2006-06-07,70,70,False,0.7,49.0
2006-06-08,85,85,False,0.85,72.25
2006-06-09,70,70,False,0.7,49.0
2006-06-10,31,31,False,0.31,9.61
2006-06-11,32,32,False,0.32,10.24
2006-06-12,58,58,False,0.58,33.64
2006-06-13,72,72,False,0.72,51.839999999999996
2006-06-14,39,39,False,0.39,15.21
2006-06-15,34,34,False,0.34,11.56
2006-06-16,29,29,False,0.29,8.41
2006-06-17,100,100,False,1.0,100.0
2006-06-18,23,23,False,0.23,5.29
2006-06-19,60,60,False,0.6,36.0
2006-06-20,78,78,False,0.78,60.84
2006-06-21,40,40,False,0.4,16.0
2006-06-22,79,79,False,0.79,62.410000000000004
2006-06-23,49,49,False,0.49,24.009999999999998
2006-06-24,72,72,False,0.72,51.839999999999996
2006-06-25,21,21,False,0.21,4.41
2006-06-26,44,44,False,0.44,19.36
2006-06-27,44,44,False,0.44,19.36
2006-06-28,58,58,False,0.58,33.64
2006-06-29,46,46,False,0.46,21.16
2006-06-30,43,43,False,0.43,18.49
2006-07-01,60,60,False,0.6,36.0
2006-07-02,62,62,False,0.62,38.44
2006-07-03,36,36,False,0.36,12.959999999999999
2006-07-04,36,36,False,0.36,12.959999999999999
2006-07-05,38,38,False,0.38,14.44
2006-07-06,52,52,False,0.52,27.04
2006-07-07,37,37,False,0.37,13.69
2006-07-08,64,64,False,0.64,40.96
2006-07-09,86,86,False,0.86,73.96
2006-07-10,52,52,False,0.52,27.04
2006-07-11,28,28,False,0.28,7.840000000000001
2006-07-12,34,34,False,0.34,11.56
2006-07-13,76,76,False,0.76,57.76
2006-07-14,69,69,False,0.69,47.61
2006-07-15,36,36,False,0.36,12.959999999999999
2006-07-16,46,46,False,0.46,21.16
2006-07-17,51,51,False,0.51,26.01
2006-07-18,56,56,False,0.56,31.360000000000003
2006-07-19,57,57,False,0.57,32.489999999999995
2006-07-20,76,76,False,0.76,57.76
2006-07-21,43,43,False,0.43,18.49
2006-07-22,9,9,False,0.09,0.8099999999999999
2006-07-23,100,100,False,1.0,100.0
2006-07-24,45,45,False,0.45,20.25
2006-07-25,39,39,False,0.39,15.21
2006-07-26,51,51,False,0.51,26.01
2006-07-27,74,74,False,0.74,54.76
2006-07-28,48,48,False,0.48,23.04
2006-07-29,63,63,False,0.63,39.69
2006-07-30,55,55,False,0.55,30.250000000000004
2006-07-31,34,34,False,0.34,11.56
2006-08-01,100,100,False,1.0,100.0
2006-08-02,67,67,False,0.67,44.89
2006-08-03,63,63,False,0.63,39.69
2006-08-04,59,59,False,0.59,34.809999999999995
2006-08-05,65,65,False,0.65,42.25
2006-08-06,67,67,False,0.67,44.89
2006-08-07,75,75,False,0.75,56.25
2006-08-08,46,46,False,0.46,21.16
2006-08-09,73,73,False,0.73,53.29
2006-08-10,74,74,False,0.74,54.76
2006-08-11,58,58,False,0.58,33.64
2006-08-12,32,32,False,0.32,10.24
2006-08-13,66,66,False,0.66,43.56
2006-08-14,74,74,False,0.74,54.76
2006-08-15,33,33,False,0.33,10.89
2006-08-16,68,68,False,0.68,46.24
2006-08-17,48,48,False,0.48,23.04
2006-08-18,79,79,False,0.79,62.410000000000004
2006-08-19,42,42,False,0.42,17.64
2006-08-20,53,53,False,0.53,28.09
2006-08-21,60,60,False,0.6,36.0
2006-08-22,45,45,False,0.45,20.25
2006-08-23,46,46,False,0.46,21.16
2006-08-24,40,40,False,0.4,16.0
2006-08-25,49,49,False,0.49,24.009999999999998
2006-08-26,40,40,False,0.4,16.0
2006-08-27,98,98,False,0.98,96.03999999999999
2006-08-28,26,26,False,0.26,6.76
2006-08-29,25,25,False,0.25,6.25
2006-08-30,52,52,False,0.52,27.04
2006-08-31,52,52,False,0.52,27.04
2006-09-01,40,40,False,0.4,16.0
2006-09-02,9,9,False,0.09,0.8099999999999999
2006-09-03,50,50,False,0.5,25.0
2006-09-04,75,75,False,0.75,56.25
2006-09-05,52,52,False,0.52,27.04
2006-09-06,29,29,False,0.29,8.41
2006-09-07,84,84,False,0.84,70.56
2006-09-08,56,56,False,0.56,31.360000000000003
2006-09-09,100,100,False,1.0,100.0
2006-09-10,45,45,False,0.45,20.25
2006-09-11,58,58,False,0.58,33.64
2006-09-12,58,58,False,0.58,33.64
2006-09-13,29,29,False,0.29,8.41
2006-09-14,58,58,False,0.58,33.64
2006-09-15,43,43,False,0.43,18.49
2006-09-16,28,28,False,0.28,7.840000000000001
2006-09-17,45,45,False,0.45,20.25
2006-09-18,52,52,False,0.52,27.04
2006-09-19,34,34,False,0.34,11.56
2006-09-20,69,69,False,0.69,47.61
2006-09-21,47,47,False,0.47,22.09
2006-09-22,37,37,False,0.37,13.69
2006-09-23,44,44,False,0.44,19.36
