date,DONATION_unscaled,DONATION_monthly,isPartial,scale,DONATION
2006-07-14,64,45.0,,0.45,28.8
2006-07-15,94,45.0,,0.45,42.300000000000004
2006-07-16,88,45.0,,0.45,39.6
2006-07-17,92,45.0,,0.45,41.4
2006-07-18,69,45.0,,0.45,31.05
2006-07-19,86,45.0,,0.45,38.7
2006-07-20,76,45.0,,0.45,34.2
2006-07-21,70,45.0,,0.45,31.5
2006-07-22,76,45.0,,0.45,34.2
2006-07-23,68,45.0,,0.45,30.6
2006-07-24,58,45.0,,0.45,26.1
2006-07-25,74,45.0,,0.45,33.300000000000004
2006-07-26,95,45.0,,0.45,42.75
2006-07-27,81,45.0,,0.45,36.45
2006-07-28,68,45.0,,0.45,30.6
2006-07-29,85,45.0,,0.45,38.25
2006-07-30,78,45.0,,0.45,35.1
2006-07-31,64,45.0,,0.45,28.8
2006-08-01,91,53.0,False,0.53,48.230000000000004
2006-08-02,97,53.0,,0.53,51.410000000000004
2006-08-03,45,53.0,,0.53,23.85
2006-08-04,85,53.0,,0.53,45.050000000000004
2006-08-05,54,53.0,,0.53,28.62
2006-08-06,31,53.0,,0.53,16.43
2006-08-07,100,53.0,,0.53,53.0
2006-08-08,77,53.0,,0.53,40.81
2006-08-09,61,53.0,,0.53,32.33
2006-08-10,63,53.0,,0.53,33.39
2006-08-11,59,53.0,,0.53,31.270000000000003
2006-08-12,68,53.0,,0.53,36.04
2006-08-13,45,53.0,,0.53,23.85
2006-08-14,87,53.0,,0.53,46.11
2006-08-15,68,53.0,,0.53,36.04
2006-08-16,65,53.0,,0.53,34.45
2006-08-17,54,53.0,,0.53,28.62
2006-08-18,67,53.0,,0.53,35.510000000000005
2006-08-19,62,53.0,,0.53,32.86
2006-08-20,43,53.0,,0.53,22.790000000000003
