date,equity loan_unscaled,equity loan_monthly,isPartial,scale,equity loan
2014-11-04,68,41.0,,0.41,27.88
2014-11-05,43,41.0,,0.41,17.63
2014-11-06,84,41.0,,0.41,34.44
2014-11-07,57,41.0,,0.41,23.369999999999997
2014-11-08,46,41.0,,0.41,18.86
2014-11-09,52,41.0,,0.41,21.32
2014-11-10,71,41.0,,0.41,29.11
2014-11-11,47,41.0,,0.41,19.27
2014-11-12,68,41.0,,0.41,27.88
2014-11-13,71,41.0,,0.41,29.11
2014-11-14,100,41.0,,0.41,41.0
2014-11-15,41,41.0,,0.41,16.81
2014-11-16,37,41.0,,0.41,15.17
2014-11-17,83,41.0,,0.41,34.03
2014-11-18,76,41.0,,0.41,31.159999999999997
2014-11-19,71,41.0,,0.41,29.11
2014-11-20,66,41.0,,0.41,27.06
2014-11-21,56,41.0,,0.41,22.959999999999997
2014-11-22,52,41.0,,0.41,21.32
2014-11-23,34,41.0,,0.41,13.94
2014-11-24,62,41.0,,0.41,25.419999999999998
2014-11-25,45,41.0,,0.41,18.45
2014-11-26,51,41.0,,0.41,20.91
2014-11-27,32,41.0,,0.41,13.12
2014-11-28,37,41.0,,0.41,15.17
2014-11-29,52,41.0,,0.41,21.32
2014-11-30,54,41.0,,0.41,22.139999999999997
2014-12-01,44,37.0,False,0.37,16.28
2014-12-02,38,37.0,,0.37,14.06
2014-12-03,84,37.0,,0.37,31.08
2014-12-04,51,37.0,,0.37,18.87
2014-12-05,46,37.0,,0.37,17.02
2014-12-06,85,37.0,,0.37,31.45
2014-12-07,71,37.0,,0.37,26.27
2014-12-08,34,37.0,,0.37,12.58
2014-12-09,84,37.0,,0.37,31.08
2014-12-10,68,37.0,,0.37,25.16
2014-12-11,41,37.0,,0.37,15.17
2014-12-12,66,37.0,,0.37,24.419999999999998
2014-12-13,22,37.0,,0.37,8.14
2014-12-14,38,37.0,,0.37,14.06
2014-12-15,29,37.0,,0.37,10.73
2014-12-16,100,37.0,,0.37,37.0
2014-12-17,30,37.0,,0.37,11.1
2014-12-18,55,37.0,,0.37,20.35
2014-12-19,45,37.0,,0.37,16.65
2014-12-20,23,37.0,,0.37,8.51
2014-12-21,63,37.0,,0.37,23.31
2014-12-22,53,37.0,,0.37,19.61
2014-12-23,60,37.0,,0.37,22.2
2014-12-24,90,37.0,,0.37,33.3
2014-12-25,0,37.0,,0.37,0.0
2014-12-26,23,37.0,,0.37,8.51
2014-12-27,30,37.0,,0.37,11.1
2014-12-28,38,37.0,,0.37,14.06
2014-12-29,77,37.0,,0.37,28.49
2014-12-30,72,37.0,,0.37,26.64
2014-12-31,55,37.0,,0.37,20.35
2015-01-01,71,48.0,False,0.48,34.08
2015-01-02,59,48.0,,0.48,28.32
2015-01-03,52,48.0,,0.48,24.96
2015-01-04,21,48.0,,0.48,10.08
2015-01-05,77,48.0,,0.48,36.96
2015-01-06,61,48.0,,0.48,29.279999999999998
2015-01-07,63,48.0,,0.48,30.24
2015-01-08,58,48.0,,0.48,27.84
2015-01-09,59,48.0,,0.48,28.32
2015-01-10,71,48.0,,0.48,34.08
2015-01-11,70,48.0,,0.48,33.6
2015-01-12,77,48.0,,0.48,36.96
2015-01-13,63,48.0,,0.48,30.24
2015-01-14,63,48.0,,0.48,30.24
2015-01-15,100,48.0,,0.48,48.0
2015-01-16,70,48.0,,0.48,33.6
2015-01-17,57,48.0,,0.48,27.36
2015-01-18,68,48.0,,0.48,32.64
2015-01-19,61,48.0,,0.48,29.279999999999998
2015-01-20,77,48.0,,0.48,36.96
2015-01-21,83,48.0,,0.48,39.839999999999996
2015-01-22,81,48.0,,0.48,38.879999999999995
2015-01-23,86,48.0,,0.48,41.28
2015-01-24,49,48.0,,0.48,23.52
2015-01-25,74,48.0,,0.48,35.519999999999996
2015-01-26,83,48.0,,0.48,39.839999999999996
2015-01-27,67,48.0,,0.48,32.16
2015-01-28,80,48.0,,0.48,38.4
2015-01-29,73,48.0,,0.48,35.04
2015-01-30,74,48.0,,0.48,35.519999999999996
2015-01-31,66,48.0,,0.48,31.68
2015-02-01,72,49.0,False,0.49,35.28
2015-02-02,75,49.0,,0.49,36.75
2015-02-03,95,49.0,,0.49,46.55
2015-02-04,59,49.0,,0.49,28.91
2015-02-05,67,49.0,,0.49,32.83
2015-02-06,81,49.0,,0.49,39.69
2015-02-07,60,49.0,,0.49,29.4
2015-02-08,57,49.0,,0.49,27.93
2015-02-09,91,49.0,,0.49,44.589999999999996
2015-02-10,55,49.0,,0.49,26.95
2015-02-11,87,49.0,,0.49,42.63
2015-02-12,72,49.0,,0.49,35.28
2015-02-13,100,49.0,,0.49,49.0
2015-02-14,58,49.0,,0.49,28.419999999999998
2015-02-15,43,49.0,,0.49,21.07
2015-02-16,57,49.0,,0.49,27.93
2015-02-17,62,49.0,,0.49,30.38
2015-02-18,91,49.0,,0.49,44.589999999999996
2015-02-19,71,49.0,,0.49,34.79
2015-02-20,61,49.0,,0.49,29.89
2015-02-21,39,49.0,,0.49,19.11
2015-02-22,31,49.0,,0.49,15.19
2015-02-23,88,49.0,,0.49,43.12
2015-02-24,81,49.0,,0.49,39.69
2015-02-25,79,49.0,,0.49,38.71
2015-02-26,90,49.0,,0.49,44.1
2015-02-27,71,49.0,,0.49,34.79
2015-02-28,80,49.0,,0.49,39.2
2015-03-01,76,56.0,False,0.56,42.56
2015-03-02,73,56.0,,0.56,40.88
2015-03-03,83,56.0,,0.56,46.480000000000004
2015-03-04,77,56.0,,0.56,43.120000000000005
2015-03-05,64,56.0,,0.56,35.84
2015-03-06,87,56.0,,0.56,48.720000000000006
2015-03-07,30,56.0,,0.56,16.8
2015-03-08,66,56.0,,0.56,36.96
2015-03-09,64,56.0,,0.56,35.84
2015-03-10,54,56.0,,0.56,30.240000000000002
2015-03-11,65,56.0,,0.56,36.400000000000006
2015-03-12,55,56.0,,0.56,30.800000000000004
2015-03-13,80,56.0,,0.56,44.800000000000004
2015-03-14,58,56.0,,0.56,32.480000000000004
2015-03-15,62,56.0,,0.56,34.720000000000006
2015-03-16,90,56.0,,0.56,50.400000000000006
2015-03-17,61,56.0,,0.56,34.160000000000004
2015-03-18,55,56.0,,0.56,30.800000000000004
2015-03-19,62,56.0,,0.56,34.720000000000006
2015-03-20,78,56.0,,0.56,43.68000000000001
2015-03-21,41,56.0,,0.56,22.96
2015-03-22,50,56.0,,0.56,28.000000000000004
2015-03-23,83,56.0,,0.56,46.480000000000004
2015-03-24,57,56.0,,0.56,31.92
2015-03-25,100,56.0,,0.56,56.00000000000001
2015-03-26,79,56.0,,0.56,44.24
2015-03-27,74,56.0,,0.56,41.440000000000005
2015-03-28,39,56.0,,0.56,21.840000000000003
2015-03-29,55,56.0,,0.56,30.800000000000004
2015-03-30,92,56.0,,0.56,51.52
2015-03-31,80,56.0,,0.56,44.800000000000004
2015-04-01,68,61.0,False,0.61,41.48
2015-04-02,63,61.0,,0.61,38.43
2015-04-03,66,61.0,,0.61,40.26
2015-04-04,50,61.0,,0.61,30.5
2015-04-05,58,61.0,,0.61,35.38
2015-04-06,75,61.0,,0.61,45.75
2015-04-07,58,61.0,,0.61,35.38
2015-04-08,80,61.0,,0.61,48.8
2015-04-09,78,61.0,,0.61,47.58
2015-04-10,59,61.0,,0.61,35.99
2015-04-11,56,61.0,,0.61,34.16
2015-04-12,56,61.0,,0.61,34.16
2015-04-13,73,61.0,,0.61,44.53
2015-04-14,100,61.0,,0.61,61.0
2015-04-15,81,61.0,,0.61,49.41
2015-04-16,64,61.0,,0.61,39.04
2015-04-17,78,61.0,,0.61,47.58
2015-04-18,46,61.0,,0.61,28.06
2015-04-19,76,61.0,,0.61,46.36
2015-04-20,54,61.0,,0.61,32.94
2015-04-21,62,61.0,,0.61,37.82
2015-04-22,64,61.0,,0.61,39.04
2015-04-23,59,61.0,,0.61,35.99
2015-04-24,68,61.0,,0.61,41.48
2015-04-25,47,61.0,,0.61,28.669999999999998
2015-04-26,53,61.0,,0.61,32.33
2015-04-27,71,61.0,,0.61,43.31
2015-04-28,84,61.0,,0.61,51.24
2015-04-29,73,61.0,,0.61,44.53
2015-04-30,83,61.0,,0.61,50.629999999999995
2015-05-01,76,55.0,False,0.55,41.800000000000004
2015-05-02,45,55.0,,0.55,24.750000000000004
2015-05-03,68,55.0,,0.55,37.400000000000006
2015-05-04,89,55.0,,0.55,48.95
2015-05-05,93,55.0,,0.55,51.150000000000006
2015-05-06,83,55.0,,0.55,45.650000000000006
2015-05-07,100,55.0,,0.55,55.00000000000001
2015-05-08,73,55.0,,0.55,40.150000000000006
2015-05-09,43,55.0,,0.55,23.650000000000002
2015-05-10,37,55.0,,0.55,20.35
2015-05-11,66,55.0,,0.55,36.300000000000004
2015-05-12,76,55.0,,0.55,41.800000000000004
2015-05-13,84,55.0,,0.55,46.2
2015-05-14,65,55.0,,0.55,35.75
2015-05-15,49,55.0,,0.55,26.950000000000003
2015-05-16,62,55.0,,0.55,34.1
2015-05-17,62,55.0,,0.55,34.1
2015-05-18,60,55.0,,0.55,33.0
2015-05-19,77,55.0,,0.55,42.35
2015-05-20,53,55.0,,0.55,29.150000000000002
2015-05-21,80,55.0,,0.55,44.0
2015-05-22,73,55.0,,0.55,40.150000000000006
2015-05-23,58,55.0,,0.55,31.900000000000002
2015-05-24,33,55.0,,0.55,18.150000000000002
2015-05-25,51,55.0,,0.55,28.05
2015-05-26,84,55.0,,0.55,46.2
2015-05-27,89,55.0,,0.55,48.95
2015-05-28,94,55.0,,0.55,51.7
2015-05-29,64,55.0,,0.55,35.2
2015-05-30,46,55.0,,0.55,25.3
2015-05-31,40,55.0,,0.55,22.0
2015-06-01,60,60.0,False,0.6,36.0
2015-06-02,70,60.0,,0.6,42.0
2015-06-03,55,60.0,,0.6,33.0
2015-06-04,48,60.0,,0.6,28.799999999999997
2015-06-05,54,60.0,,0.6,32.4
2015-06-06,32,60.0,,0.6,19.2
2015-06-07,25,60.0,,0.6,15.0
2015-06-08,70,60.0,,0.6,42.0
2015-06-09,83,60.0,,0.6,49.8
2015-06-10,100,60.0,,0.6,60.0
2015-06-11,82,60.0,,0.6,49.199999999999996
2015-06-12,87,60.0,,0.6,52.199999999999996
2015-06-13,63,60.0,,0.6,37.8
2015-06-14,41,60.0,,0.6,24.599999999999998
2015-06-15,60,60.0,,0.6,36.0
2015-06-16,72,60.0,,0.6,43.199999999999996
2015-06-17,62,60.0,,0.6,37.199999999999996
2015-06-18,64,60.0,,0.6,38.4
2015-06-19,51,60.0,,0.6,30.599999999999998
2015-06-20,52,60.0,,0.6,31.2
2015-06-21,51,60.0,,0.6,30.599999999999998
2015-06-22,98,60.0,,0.6,58.8
2015-06-23,67,60.0,,0.6,40.199999999999996
2015-06-24,66,60.0,,0.6,39.6
2015-06-25,82,60.0,,0.6,49.199999999999996
2015-06-26,45,60.0,,0.6,27.0
2015-06-27,47,60.0,,0.6,28.2
2015-06-28,48,60.0,,0.6,28.799999999999997
2015-06-29,83,60.0,,0.6,49.8
2015-06-30,89,60.0,,0.6,53.4
2015-07-01,78,65.0,False,0.65,50.7
2015-07-02,83,65.0,,0.65,53.95
2015-07-03,43,65.0,,0.65,27.95
2015-07-04,55,65.0,,0.65,35.75
2015-07-05,35,65.0,,0.65,22.75
2015-07-06,83,65.0,,0.65,53.95
2015-07-07,97,65.0,,0.65,63.050000000000004
2015-07-08,61,65.0,,0.65,39.65
2015-07-09,63,65.0,,0.65,40.95
2015-07-10,51,65.0,,0.65,33.15
2015-07-11,68,65.0,,0.65,44.2
2015-07-12,43,65.0,,0.65,27.95
2015-07-13,80,65.0,,0.65,52.0
2015-07-14,85,65.0,,0.65,55.25
2015-07-15,77,65.0,,0.65,50.050000000000004
2015-07-16,52,65.0,,0.65,33.800000000000004
2015-07-17,61,65.0,,0.65,39.65
2015-07-18,61,65.0,,0.65,39.65
2015-07-19,49,65.0,,0.65,31.85
2015-07-20,79,65.0,,0.65,51.35
2015-07-21,100,65.0,,0.65,65.0
2015-07-22,64,65.0,,0.65,41.6
2015-07-23,61,65.0,,0.65,39.65
2015-07-24,72,65.0,,0.65,46.800000000000004
2015-07-25,62,65.0,,0.65,40.300000000000004
2015-07-26,37,65.0,,0.65,24.05
2015-07-27,89,65.0,,0.65,57.85
2015-07-28,99,65.0,,0.65,64.35000000000001
2015-07-29,76,65.0,,0.65,49.4
2015-07-30,74,65.0,,0.65,48.1
2015-07-31,58,65.0,,0.65,37.7
2015-08-01,66,64.0,False,0.64,42.24
2015-08-02,33,64.0,,0.64,21.12
2015-08-03,87,64.0,,0.64,55.68
