date,BANKRUPTCY_unscaled,BANKRUPTCY_monthly,isPartial,scale,BANKRUPTCY
2009-11-28,32,72.0,,0.72,23.04
2009-11-29,29,72.0,,0.72,20.88
2009-11-30,57,72.0,,0.72,41.04
2009-12-01,98,69.0,False,0.69,67.61999999999999
2009-12-02,92,69.0,,0.69,63.48
2009-12-03,88,69.0,,0.69,60.72
2009-12-04,74,69.0,,0.69,51.059999999999995
2009-12-05,45,69.0,,0.69,31.049999999999997
2009-12-06,39,69.0,,0.69,26.909999999999997
2009-12-07,94,69.0,,0.69,64.86
2009-12-08,87,69.0,,0.69,60.029999999999994
2009-12-09,90,69.0,,0.69,62.099999999999994
2009-12-10,93,69.0,,0.69,64.17
2009-12-11,77,69.0,,0.69,53.129999999999995
2009-12-12,48,69.0,,0.69,33.12
2009-12-13,52,69.0,,0.69,35.879999999999995
2009-12-14,93,69.0,,0.69,64.17
2009-12-15,100,69.0,,0.69,69.0
2009-12-16,94,69.0,,0.69,64.86
2009-12-17,83,69.0,,0.69,57.269999999999996
2009-12-18,70,69.0,,0.69,48.3
2009-12-19,47,69.0,,0.69,32.43
2009-12-20,46,69.0,,0.69,31.74
2009-12-21,99,69.0,,0.69,68.30999999999999
2009-12-22,90,69.0,,0.69,62.099999999999994
2009-12-23,86,69.0,,0.69,59.339999999999996
2009-12-24,57,69.0,,0.69,39.33
2009-12-25,25,69.0,,0.69,17.25
2009-12-26,42,69.0,,0.69,28.979999999999997
2009-12-27,47,69.0,,0.69,32.43
2009-12-28,94,69.0,,0.69,64.86
2009-12-29,97,69.0,,0.69,66.92999999999999
2009-12-30,98,69.0,,0.69,67.61999999999999
2009-12-31,71,69.0,,0.69,48.989999999999995
2010-01-01,37,75.0,False,0.75,27.75
2010-01-02,58,75.0,,0.75,43.5
2010-01-03,51,75.0,,0.75,38.25
2010-01-04,97,75.0,,0.75,72.75
2010-01-05,98,75.0,,0.75,73.5
2010-01-06,99,75.0,,0.75,74.25
2010-01-07,88,75.0,,0.75,66.0
2010-01-08,84,75.0,,0.75,63.0
2010-01-09,42,75.0,,0.75,31.5
2010-01-10,50,75.0,,0.75,37.5
2010-01-11,99,75.0,,0.75,74.25
2010-01-12,98,75.0,,0.75,73.5
2010-01-13,91,75.0,,0.75,68.25
2010-01-14,89,75.0,,0.75,66.75
2010-01-15,83,75.0,,0.75,62.25
2010-01-16,56,75.0,,0.75,42.0
2010-01-17,47,75.0,,0.75,35.25
2010-01-18,73,75.0,,0.75,54.75
2010-01-19,98,75.0,,0.75,73.5
2010-01-20,94,75.0,,0.75,70.5
2010-01-21,96,75.0,,0.75,72.0
2010-01-22,92,75.0,,0.75,69.0
2010-01-23,57,75.0,,0.75,42.75
2010-01-24,54,75.0,,0.75,40.5
2010-01-25,100,75.0,,0.75,75.0
2010-01-26,96,75.0,,0.75,72.0
2010-01-27,87,75.0,,0.75,65.25
2010-01-28,90,75.0,,0.75,67.5
2010-01-29,75,75.0,,0.75,56.25
2010-01-30,51,75.0,,0.75,38.25
2010-01-31,51,75.0,,0.75,38.25
2010-02-01,85,74.0,False,0.74,62.9
2010-02-02,96,74.0,,0.74,71.03999999999999
2010-02-03,95,74.0,,0.74,70.3
2010-02-04,95,74.0,,0.74,70.3
2010-02-05,87,74.0,,0.74,64.38
2010-02-06,49,74.0,,0.74,36.26
2010-02-07,57,74.0,,0.74,42.18
2010-02-08,86,74.0,,0.74,63.64
2010-02-09,100,74.0,,0.74,74.0
2010-02-10,84,74.0,,0.74,62.16
2010-02-11,90,74.0,,0.74,66.6
2010-02-12,82,74.0,,0.74,60.68
2010-02-13,49,74.0,,0.74,36.26
2010-02-14,36,74.0,,0.74,26.64
2010-02-15,77,74.0,,0.74,56.98
2010-02-16,95,74.0,,0.74,70.3
2010-02-17,99,74.0,,0.74,73.26
2010-02-18,92,74.0,,0.74,68.08
2010-02-19,96,74.0,,0.74,71.03999999999999
2010-02-20,56,74.0,,0.74,41.44
2010-02-21,47,74.0,,0.74,34.78
2010-02-22,96,74.0,,0.74,71.03999999999999
2010-02-23,89,74.0,,0.74,65.86
2010-02-24,96,74.0,,0.74,71.03999999999999
2010-02-25,83,74.0,,0.74,61.42
2010-02-26,80,74.0,,0.74,59.2
2010-02-27,47,74.0,,0.74,34.78
2010-02-28,55,74.0,,0.74,40.7
2010-03-01,95,75.0,False,0.75,71.25
2010-03-02,98,75.0,,0.75,73.5
2010-03-03,98,75.0,,0.75,73.5
2010-03-04,100,75.0,,0.75,75.0
2010-03-05,92,75.0,,0.75,69.0
2010-03-06,53,75.0,,0.75,39.75
2010-03-07,58,75.0,,0.75,43.5
2010-03-08,91,75.0,,0.75,68.25
2010-03-09,91,75.0,,0.75,68.25
2010-03-10,92,75.0,,0.75,69.0
2010-03-11,90,75.0,,0.75,67.5
2010-03-12,80,75.0,,0.75,60.0
