date,luxury apartments_unscaled,luxury apartments_monthly,isPartial,scale,luxury apartments
2006-09-23,0,0,False,0.0,0.0
2006-09-24,0,0,False,0.0,0.0
2006-09-25,37,37,False,0.37,13.69
2006-09-26,0,0,False,0.0,0.0
2006-09-27,37,37,False,0.37,13.69
2006-09-28,19,19,False,0.19,3.61
2006-09-29,100,100,False,1.0,100.0
2006-09-30,30,30,False,0.3,9.0
2006-10-01,0,0,False,0.0,0.0
2006-10-02,16,16,False,0.16,2.56
2006-10-03,48,48,False,0.48,23.04
2006-10-04,32,32,False,0.32,10.24
2006-10-05,33,33,False,0.33,10.89
2006-10-06,35,35,False,0.35,12.25
2006-10-07,53,53,False,0.53,28.09
