date,patron_unscaled,patron_monthly,isPartial,scale,patron
2006-06-03,71,36.0,,0.36,25.56
2006-06-04,52,36.0,,0.36,18.72
2006-06-05,72,36.0,,0.36,25.919999999999998
2006-06-06,67,36.0,,0.36,24.119999999999997
2006-06-07,67,36.0,,0.36,24.119999999999997
2006-06-08,74,36.0,,0.36,26.64
2006-06-09,100,36.0,,0.36,36.0
2006-06-10,71,36.0,,0.36,25.56
2006-06-11,86,36.0,,0.36,30.959999999999997
2006-06-12,52,36.0,,0.36,18.72
2006-06-13,96,36.0,,0.36,34.56
2006-06-14,65,36.0,,0.36,23.4
2006-06-15,46,36.0,,0.36,16.56
2006-06-16,64,36.0,,0.36,23.04
2006-06-17,76,36.0,,0.36,27.36
2006-06-18,57,36.0,,0.36,20.52
2006-06-19,66,36.0,,0.36,23.759999999999998
2006-06-20,81,36.0,,0.36,29.16
2006-06-21,50,36.0,,0.36,18.0
2006-06-22,75,36.0,,0.36,27.0
2006-06-23,52,36.0,,0.36,18.72
2006-06-24,77,36.0,,0.36,27.72
2006-06-25,52,36.0,,0.36,18.72
2006-06-26,44,36.0,,0.36,15.84
2006-06-27,66,36.0,,0.36,23.759999999999998
2006-06-28,28,36.0,,0.36,10.08
2006-06-29,83,36.0,,0.36,29.88
2006-06-30,63,36.0,,0.36,22.68
2006-07-01,71,38.0,False,0.38,26.98
2006-07-02,81,38.0,,0.38,30.78
2006-07-03,41,38.0,,0.38,15.58
2006-07-04,57,38.0,,0.38,21.66
2006-07-05,36,38.0,,0.38,13.68
2006-07-06,82,38.0,,0.38,31.16
2006-07-07,98,38.0,,0.38,37.24
2006-07-08,85,38.0,,0.38,32.3
2006-07-09,68,38.0,,0.38,25.84
2006-07-10,37,38.0,,0.38,14.06
2006-07-11,76,38.0,,0.38,28.88
2006-07-12,77,38.0,,0.38,29.26
2006-07-13,100,38.0,,0.38,38.0
2006-07-14,63,38.0,,0.38,23.94
2006-07-15,97,38.0,,0.38,36.86
2006-07-16,60,38.0,,0.38,22.8
2006-07-17,86,38.0,,0.38,32.68
2006-07-18,56,38.0,,0.38,21.28
2006-07-19,66,38.0,,0.38,25.080000000000002
2006-07-20,67,38.0,,0.38,25.46
2006-07-21,61,38.0,,0.38,23.18
2006-07-22,69,38.0,,0.38,26.22
2006-07-23,98,38.0,,0.38,37.24
2006-07-24,80,38.0,,0.38,30.4
2006-07-25,55,38.0,,0.38,20.9
2006-07-26,84,38.0,,0.38,31.92
2006-07-27,66,38.0,,0.38,25.080000000000002
2006-07-28,53,38.0,,0.38,20.14
2006-07-29,57,38.0,,0.38,21.66
2006-07-30,65,38.0,,0.38,24.7
2006-07-31,52,38.0,,0.38,19.76
2006-08-01,48,37.0,False,0.37,17.759999999999998
2006-08-02,61,37.0,,0.37,22.57
2006-08-03,30,37.0,,0.37,11.1
2006-08-04,51,37.0,,0.37,18.87
2006-08-05,55,37.0,,0.37,20.35
2006-08-06,36,37.0,,0.37,13.32
2006-08-07,29,37.0,,0.37,10.73
2006-08-08,50,37.0,,0.37,18.5
2006-08-09,45,37.0,,0.37,16.65
2006-08-10,63,37.0,,0.37,23.31
2006-08-11,41,37.0,,0.37,15.17
2006-08-12,59,37.0,,0.37,21.83
2006-08-13,43,37.0,,0.37,15.91
2006-08-14,32,37.0,,0.37,11.84
2006-08-15,45,37.0,,0.37,16.65
2006-08-16,49,37.0,,0.37,18.13
2006-08-17,38,37.0,,0.37,14.06
2006-08-18,64,37.0,,0.37,23.68
2006-08-19,28,37.0,,0.37,10.36
2006-08-20,42,37.0,,0.37,15.54
2006-08-21,45,37.0,,0.37,16.65
2006-08-22,49,37.0,,0.37,18.13
2006-08-23,60,37.0,,0.37,22.2
2006-08-24,44,37.0,,0.37,16.28
2006-08-25,100,37.0,,0.37,37.0
2006-08-26,52,37.0,,0.37,19.24
2006-08-27,83,37.0,,0.37,30.71
2006-08-28,33,37.0,,0.37,12.209999999999999
2006-08-29,65,37.0,,0.37,24.05
2006-08-30,34,37.0,,0.37,12.58
2006-08-31,50,37.0,,0.37,18.5
2006-09-01,98,42.0,False,0.42,41.16
2006-09-02,65,42.0,,0.42,27.3
2006-09-03,78,42.0,,0.42,32.76
2006-09-04,24,42.0,,0.42,10.08
