date,an intervention_unscaled,an intervention_monthly,isPartial,scale,an intervention
2007-02-18,0,24.0,,0.24,0.0
2007-02-19,0,24.0,,0.24,0.0
2007-02-20,48,24.0,,0.24,11.52
2007-02-21,0,24.0,,0.24,0.0
2007-02-22,0,24.0,,0.24,0.0
2007-02-23,100,24.0,,0.24,24.0
2007-02-24,70,24.0,,0.24,16.8
2007-02-25,0,24.0,,0.24,0.0
2007-02-26,0,24.0,,0.24,0.0
2007-02-27,0,24.0,,0.24,0.0
2007-02-28,0,24.0,,0.24,0.0
2007-03-01,0,13.0,False,0.13,0.0
2007-03-02,0,13.0,,0.13,0.0
2007-03-03,0,13.0,,0.13,0.0
2007-03-04,0,13.0,,0.13,0.0
2007-03-05,0,13.0,,0.13,0.0
2007-03-06,0,13.0,,0.13,0.0
2007-03-07,0,13.0,,0.13,0.0
2007-03-08,0,13.0,,0.13,0.0
2007-03-09,0,13.0,,0.13,0.0
2007-03-10,49,13.0,,0.13,6.37
2007-03-11,0,13.0,,0.13,0.0
2007-03-12,0,13.0,,0.13,0.0
2007-03-13,66,13.0,,0.13,8.58
2007-03-14,0,13.0,,0.13,0.0
2007-03-15,0,13.0,,0.13,0.0
2007-03-16,0,13.0,,0.13,0.0
2007-03-17,0,13.0,,0.13,0.0
2007-03-18,0,13.0,,0.13,0.0
2007-03-19,0,13.0,,0.13,0.0
2007-03-20,0,13.0,,0.13,0.0
2007-03-21,0,13.0,,0.13,0.0
2007-03-22,100,13.0,,0.13,13.0
2007-03-23,34,13.0,,0.13,4.42
2007-03-24,0,13.0,,0.13,0.0
2007-03-25,0,13.0,,0.13,0.0
2007-03-26,33,13.0,,0.13,4.29
2007-03-27,0,13.0,,0.13,0.0
2007-03-28,0,13.0,,0.13,0.0
2007-03-29,0,13.0,,0.13,0.0
2007-03-30,0,13.0,,0.13,0.0
2007-03-31,0,13.0,,0.13,0.0
2007-04-01,0,18.0,False,0.18,0.0
2007-04-02,54,18.0,,0.18,9.719999999999999
2007-04-03,0,18.0,,0.18,0.0
2007-04-04,0,18.0,,0.18,0.0
2007-04-05,55,18.0,,0.18,9.9
2007-04-06,0,18.0,,0.18,0.0
2007-04-07,0,18.0,,0.18,0.0
2007-04-08,0,18.0,,0.18,0.0
2007-04-09,0,18.0,,0.18,0.0
2007-04-10,52,18.0,,0.18,9.36
2007-04-11,0,18.0,,0.18,0.0
2007-04-12,0,18.0,,0.18,0.0
2007-04-13,0,18.0,,0.18,0.0
2007-04-14,0,18.0,,0.18,0.0
2007-04-15,0,18.0,,0.18,0.0
2007-04-16,50,18.0,,0.18,9.0
2007-04-17,0,18.0,,0.18,0.0
2007-04-18,51,18.0,,0.18,9.18
2007-04-19,0,18.0,,0.18,0.0
2007-04-20,0,18.0,,0.18,0.0
2007-04-21,0,18.0,,0.18,0.0
2007-04-22,0,18.0,,0.18,0.0
2007-04-23,51,18.0,,0.18,9.18
2007-04-24,100,18.0,,0.18,18.0
2007-04-25,0,18.0,,0.18,0.0
2007-04-26,0,18.0,,0.18,0.0
2007-04-27,0,18.0,,0.18,0.0
2007-04-28,0,18.0,,0.18,0.0
2007-04-29,0,18.0,,0.18,0.0
2007-04-30,0,18.0,,0.18,0.0
2007-05-01,0,15.0,False,0.15,0.0
2007-05-02,0,15.0,,0.15,0.0
2007-05-03,0,15.0,,0.15,0.0
2007-05-04,0,15.0,,0.15,0.0
2007-05-05,48,15.0,,0.15,7.199999999999999
2007-05-06,0,15.0,,0.15,0.0
2007-05-07,0,15.0,,0.15,0.0
2007-05-08,0,15.0,,0.15,0.0
2007-05-09,0,15.0,,0.15,0.0
2007-05-10,0,15.0,,0.15,0.0
2007-05-11,100,15.0,,0.15,15.0
2007-05-12,0,15.0,,0.15,0.0
2007-05-13,0,15.0,,0.15,0.0
2007-05-14,0,15.0,,0.15,0.0
2007-05-15,0,15.0,,0.15,0.0
2007-05-16,0,15.0,,0.15,0.0
2007-05-17,61,15.0,,0.15,9.15
2007-05-18,0,15.0,,0.15,0.0
2007-05-19,0,15.0,,0.15,0.0
2007-05-20,0,15.0,,0.15,0.0
2007-05-21,0,15.0,,0.15,0.0
2007-05-22,0,15.0,,0.15,0.0
2007-05-23,30,15.0,,0.15,4.5
2007-05-24,0,15.0,,0.15,0.0
