date,auction_unscaled,auction_monthly,isPartial,scale,auction
2005-11-14,87,87,False,0.87,75.69
2005-11-15,69,69,False,0.69,47.61
2005-11-16,76,76,False,0.76,57.76
2005-11-17,55,55,False,0.55,30.250000000000004
2005-11-18,66,66,False,0.66,43.56
2005-11-19,75,75,False,0.75,56.25
2005-11-20,74,74,False,0.74,54.76
2005-11-21,68,68,False,0.68,46.24
2005-11-22,73,73,False,0.73,53.29
2005-11-23,61,61,False,0.61,37.21
2005-11-24,94,94,False,0.94,88.36
2005-11-25,68,68,False,0.68,46.24
2005-11-26,71,71,False,0.71,50.41
2005-11-27,100,100,False,1.0,100.0
2005-11-28,73,73,False,0.73,53.29
2005-11-29,66,66,False,0.66,43.56
2005-11-30,76,76,False,0.76,57.76
2005-12-01,67,67,False,0.67,44.89
2005-12-02,82,82,False,0.82,67.24
2005-12-03,61,61,False,0.61,37.21
2005-12-04,92,92,False,0.92,84.64
2005-12-05,59,59,False,0.59,34.809999999999995
2005-12-06,73,73,False,0.73,53.29
2005-12-07,66,66,False,0.66,43.56
2005-12-08,77,77,False,0.77,59.29
2005-12-09,68,68,False,0.68,46.24
2005-12-10,100,100,False,1.0,100.0
2005-12-11,82,82,False,0.82,67.24
2005-12-12,58,58,False,0.58,33.64
2005-12-13,72,72,False,0.72,51.839999999999996
2005-12-14,65,65,False,0.65,42.25
2005-12-15,71,71,False,0.71,50.41
2005-12-16,74,74,False,0.74,54.76
2005-12-17,90,90,False,0.9,81.0
2005-12-18,62,62,False,0.62,38.44
2005-12-19,64,64,False,0.64,40.96
2005-12-20,76,76,False,0.76,57.76
2005-12-21,55,55,False,0.55,30.250000000000004
2005-12-22,56,56,False,0.56,31.360000000000003
2005-12-23,61,61,False,0.61,37.21
2005-12-24,68,68,False,0.68,46.24
2005-12-25,55,55,False,0.55,30.250000000000004
2005-12-26,80,80,False,0.8,64.0
2005-12-27,43,43,False,0.43,18.49
2005-12-28,72,72,False,0.72,51.839999999999996
2005-12-29,87,87,False,0.87,75.69
2005-12-30,89,89,False,0.89,79.21000000000001
2005-12-31,81,81,False,0.81,65.61
2006-01-01,57,57,False,0.57,32.489999999999995
2006-01-02,64,64,False,0.64,40.96
2006-01-03,52,52,False,0.52,27.04
2006-01-04,55,55,False,0.55,30.250000000000004
2006-01-05,44,44,False,0.44,19.36
2006-01-06,73,73,False,0.73,53.29
2006-01-07,69,69,False,0.69,47.61
2006-01-08,55,55,False,0.55,30.250000000000004
2006-01-09,47,47,False,0.47,22.09
2006-01-10,57,57,False,0.57,32.489999999999995
2006-01-11,49,49,False,0.49,24.009999999999998
2006-01-12,56,56,False,0.56,31.360000000000003
2006-01-13,51,51,False,0.51,26.01
2006-01-14,86,86,False,0.86,73.96
2006-01-15,59,59,False,0.59,34.809999999999995
2006-01-16,59,59,False,0.59,34.809999999999995
2006-01-17,57,57,False,0.57,32.489999999999995
2006-01-18,60,60,False,0.6,36.0
2006-01-19,70,70,False,0.7,49.0
2006-01-20,76,76,False,0.76,57.76
2006-01-21,100,100,False,1.0,100.0
2006-01-22,75,75,False,0.75,56.25
2006-01-23,77,77,False,0.77,59.29
2006-01-24,66,66,False,0.66,43.56
2006-01-25,58,58,False,0.58,33.64
2006-01-26,52,52,False,0.52,27.04
2006-01-27,67,67,False,0.67,44.89
2006-01-28,68,68,False,0.68,46.24
2006-01-29,65,65,False,0.65,42.25
2006-01-30,58,58,False,0.58,33.64
2006-01-31,47,47,False,0.47,22.09
2006-02-01,78,78,False,0.78,60.84
2006-02-02,74,74,False,0.74,54.76
2006-02-03,85,85,False,0.85,72.25
2006-02-04,93,93,False,0.93,86.49000000000001
2006-02-05,63,63,False,0.63,39.69
2006-02-06,74,74,False,0.74,54.76
