date,equity bank_unscaled,equity bank_monthly,isPartial,scale,equity bank
2014-01-27,50,54.0,,0.54,27.0
2014-01-28,76,54.0,,0.54,41.040000000000006
2014-01-29,58,54.0,,0.54,31.32
2014-01-30,20,54.0,,0.54,10.8
2014-01-31,47,54.0,,0.54,25.380000000000003
2014-02-01,44,60.0,False,0.6,26.4
2014-02-02,42,60.0,,0.6,25.2
2014-02-03,64,60.0,,0.6,38.4
2014-02-04,35,60.0,,0.6,21.0
2014-02-05,72,60.0,,0.6,43.199999999999996
2014-02-06,97,60.0,,0.6,58.199999999999996
2014-02-07,49,60.0,,0.6,29.4
2014-02-08,22,60.0,,0.6,13.2
2014-02-09,21,60.0,,0.6,12.6
2014-02-10,63,60.0,,0.6,37.8
2014-02-11,57,60.0,,0.6,34.199999999999996
2014-02-12,58,60.0,,0.6,34.8
2014-02-13,41,60.0,,0.6,24.599999999999998
2014-02-14,19,60.0,,0.6,11.4
2014-02-15,60,60.0,,0.6,36.0
2014-02-16,37,60.0,,0.6,22.2
2014-02-17,62,60.0,,0.6,37.199999999999996
2014-02-18,100,60.0,,0.6,60.0
2014-02-19,29,60.0,,0.6,17.4
2014-02-20,60,60.0,,0.6,36.0
2014-02-21,54,60.0,,0.6,32.4
2014-02-22,59,60.0,,0.6,35.4
2014-02-23,36,60.0,,0.6,21.599999999999998
2014-02-24,52,60.0,,0.6,31.2
2014-02-25,63,60.0,,0.6,37.8
2014-02-26,57,60.0,,0.6,34.199999999999996
2014-02-27,64,60.0,,0.6,38.4
2014-02-28,91,60.0,,0.6,54.6
2014-03-01,100,56.0,False,0.56,56.00000000000001
2014-03-02,78,56.0,,0.56,43.68000000000001
2014-03-03,94,56.0,,0.56,52.64000000000001
2014-03-04,57,56.0,,0.56,31.92
2014-03-05,65,56.0,,0.56,36.400000000000006
2014-03-06,33,56.0,,0.56,18.48
2014-03-07,95,56.0,,0.56,53.2
2014-03-08,41,56.0,,0.56,22.96
2014-03-09,51,56.0,,0.56,28.560000000000002
2014-03-10,76,56.0,,0.56,42.56
2014-03-11,93,56.0,,0.56,52.080000000000005
2014-03-12,50,56.0,,0.56,28.000000000000004
2014-03-13,84,56.0,,0.56,47.040000000000006
2014-03-14,62,56.0,,0.56,34.720000000000006
2014-03-15,94,56.0,,0.56,52.64000000000001
2014-03-16,71,56.0,,0.56,39.760000000000005
2014-03-17,50,56.0,,0.56,28.000000000000004
2014-03-18,75,56.0,,0.56,42.00000000000001
2014-03-19,76,56.0,,0.56,42.56
2014-03-20,77,56.0,,0.56,43.120000000000005
2014-03-21,62,56.0,,0.56,34.720000000000006
2014-03-22,31,56.0,,0.56,17.360000000000003
2014-03-23,51,56.0,,0.56,28.560000000000002
2014-03-24,100,56.0,,0.56,56.00000000000001
2014-03-25,66,56.0,,0.56,36.96
2014-03-26,67,56.0,,0.56,37.52
2014-03-27,59,56.0,,0.56,33.040000000000006
2014-03-28,43,56.0,,0.56,24.080000000000002
2014-03-29,40,56.0,,0.56,22.400000000000002
2014-03-30,30,56.0,,0.56,16.8
2014-03-31,58,56.0,,0.56,32.480000000000004
2014-04-01,82,68.0,False,0.68,55.760000000000005
2014-04-02,66,68.0,,0.68,44.88
2014-04-03,73,68.0,,0.68,49.64
2014-04-04,62,68.0,,0.68,42.160000000000004
2014-04-05,54,68.0,,0.68,36.720000000000006
2014-04-06,22,68.0,,0.68,14.96
2014-04-07,77,68.0,,0.68,52.36000000000001
2014-04-08,100,68.0,,0.68,68.0
2014-04-09,73,68.0,,0.68,49.64
2014-04-10,62,68.0,,0.68,42.160000000000004
2014-04-11,39,68.0,,0.68,26.520000000000003
2014-04-12,32,68.0,,0.68,21.76
2014-04-13,61,68.0,,0.68,41.480000000000004
2014-04-14,47,68.0,,0.68,31.96
2014-04-15,46,68.0,,0.68,31.28
2014-04-16,79,68.0,,0.68,53.720000000000006
2014-04-17,62,68.0,,0.68,42.160000000000004
2014-04-18,60,68.0,,0.68,40.800000000000004
2014-04-19,55,68.0,,0.68,37.400000000000006
2014-04-20,58,68.0,,0.68,39.440000000000005
2014-04-21,19,68.0,,0.68,12.920000000000002
2014-04-22,59,68.0,,0.68,40.120000000000005
2014-04-23,73,68.0,,0.68,49.64
2014-04-24,61,68.0,,0.68,41.480000000000004
2014-04-25,44,68.0,,0.68,29.92
2014-04-26,70,68.0,,0.68,47.6
2014-04-27,15,68.0,,0.68,10.200000000000001
2014-04-28,36,68.0,,0.68,24.48
2014-04-29,46,68.0,,0.68,31.28
2014-04-30,76,68.0,,0.68,51.68000000000001
2014-05-01,79,61.0,False,0.61,48.19
2014-05-02,83,61.0,,0.61,50.629999999999995
2014-05-03,55,61.0,,0.61,33.55
2014-05-04,46,61.0,,0.61,28.06
2014-05-05,65,61.0,,0.61,39.65
2014-05-06,93,61.0,,0.61,56.73
2014-05-07,44,61.0,,0.61,26.84
2014-05-08,95,61.0,,0.61,57.949999999999996
2014-05-09,68,61.0,,0.61,41.48
2014-05-10,65,61.0,,0.61,39.65
2014-05-11,29,61.0,,0.61,17.69
2014-05-12,87,61.0,,0.61,53.07
2014-05-13,100,61.0,,0.61,61.0
2014-05-14,36,61.0,,0.61,21.96
2014-05-15,58,61.0,,0.61,35.38
2014-05-16,15,61.0,,0.61,9.15
2014-05-17,56,61.0,,0.61,34.16
2014-05-18,38,61.0,,0.61,23.18
2014-05-19,95,61.0,,0.61,57.949999999999996
2014-05-20,74,61.0,,0.61,45.14
2014-05-21,49,61.0,,0.61,29.89
2014-05-22,51,61.0,,0.61,31.11
2014-05-23,62,61.0,,0.61,37.82
2014-05-24,22,61.0,,0.61,13.42
2014-05-25,35,61.0,,0.61,21.349999999999998
2014-05-26,62,61.0,,0.61,37.82
2014-05-27,57,61.0,,0.61,34.769999999999996
2014-05-28,88,61.0,,0.61,53.68
2014-05-29,58,61.0,,0.61,35.38
2014-05-30,78,61.0,,0.61,47.58
2014-05-31,43,61.0,,0.61,26.23
2014-06-01,38,56.0,False,0.56,21.28
2014-06-02,36,56.0,,0.56,20.160000000000004
2014-06-03,65,56.0,,0.56,36.400000000000006
2014-06-04,58,56.0,,0.56,32.480000000000004
2014-06-05,22,56.0,,0.56,12.32
2014-06-06,100,56.0,,0.56,56.00000000000001
2014-06-07,56,56.0,,0.56,31.360000000000003
