date,luxury home_unscaled,luxury home_monthly,isPartial,scale,luxury home
2006-05-11,29,55.0,,0.55,15.950000000000001
2006-05-12,16,55.0,,0.55,8.8
2006-05-13,25,55.0,,0.55,13.750000000000002
2006-05-14,100,55.0,,0.55,55.00000000000001
2006-05-15,0,55.0,,0.55,0.0
2006-05-16,15,55.0,,0.55,8.25
2006-05-17,29,55.0,,0.55,15.950000000000001
2006-05-18,45,55.0,,0.55,24.750000000000004
2006-05-19,0,55.0,,0.55,0.0
2006-05-20,25,55.0,,0.55,13.750000000000002
2006-05-21,25,55.0,,0.55,13.750000000000002
2006-05-22,15,55.0,,0.55,8.25
2006-05-23,22,55.0,,0.55,12.100000000000001
2006-05-24,30,55.0,,0.55,16.5
2006-05-25,47,55.0,,0.55,25.85
2006-05-26,86,55.0,,0.55,47.300000000000004
2006-05-27,0,55.0,,0.55,0.0
2006-05-28,43,55.0,,0.55,23.650000000000002
2006-05-29,24,55.0,,0.55,13.200000000000001
2006-05-30,46,55.0,,0.55,25.3
2006-05-31,30,55.0,,0.55,16.5
2006-06-01,52,85.0,False,0.85,44.199999999999996
2006-06-02,66,85.0,,0.85,56.1
2006-06-03,100,85.0,,0.85,85.0
2006-06-04,67,85.0,,0.85,56.949999999999996
2006-06-05,61,85.0,,0.85,51.85
2006-06-06,40,85.0,,0.85,34.0
2006-06-07,20,85.0,,0.85,17.0
2006-06-08,52,85.0,,0.85,44.199999999999996
2006-06-09,22,85.0,,0.85,18.7
2006-06-10,68,85.0,,0.85,57.8
2006-06-11,69,85.0,,0.85,58.65
2006-06-12,21,85.0,,0.85,17.849999999999998
2006-06-13,41,85.0,,0.85,34.85
2006-06-14,63,85.0,,0.85,53.55
2006-06-15,87,85.0,,0.85,73.95
2006-06-16,47,85.0,,0.85,39.949999999999996
2006-06-17,88,85.0,,0.85,74.8
2006-06-18,37,85.0,,0.85,31.45
2006-06-19,42,85.0,,0.85,35.699999999999996
2006-06-20,42,85.0,,0.85,35.699999999999996
2006-06-21,21,85.0,,0.85,17.849999999999998
2006-06-22,42,85.0,,0.85,35.699999999999996
2006-06-23,0,85.0,,0.85,0.0
2006-06-24,33,85.0,,0.85,28.05
2006-06-25,33,85.0,,0.85,28.05
2006-06-26,51,85.0,,0.85,43.35
2006-06-27,20,85.0,,0.85,17.0
2006-06-28,41,85.0,,0.85,34.85
2006-06-29,62,85.0,,0.85,52.699999999999996
2006-06-30,0,85.0,,0.85,0.0
2006-07-01,35,89.0,False,0.89,31.150000000000002
2006-07-02,36,89.0,,0.89,32.04
2006-07-03,26,89.0,,0.89,23.14
2006-07-04,31,89.0,,0.89,27.59
2006-07-05,45,89.0,,0.89,40.05
2006-07-06,41,89.0,,0.89,36.49
2006-07-07,33,89.0,,0.89,29.37
2006-07-08,32,89.0,,0.89,28.48
2006-07-09,100,89.0,,0.89,89.0
2006-07-10,61,89.0,,0.89,54.29
2006-07-11,39,89.0,,0.89,34.71
2006-07-12,80,89.0,,0.89,71.2
2006-07-13,20,89.0,,0.89,17.8
2006-07-14,33,89.0,,0.89,29.37
2006-07-15,64,89.0,,0.89,56.96
2006-07-16,50,89.0,,0.89,44.5
2006-07-17,71,89.0,,0.89,63.19
2006-07-18,30,89.0,,0.89,26.7
2006-07-19,20,89.0,,0.89,17.8
2006-07-20,41,89.0,,0.89,36.49
2006-07-21,22,89.0,,0.89,19.580000000000002
2006-07-22,32,89.0,,0.89,28.48
2006-07-23,64,89.0,,0.89,56.96
2006-07-24,20,89.0,,0.89,17.8
2006-07-25,49,89.0,,0.89,43.61
2006-07-26,0,89.0,,0.89,0.0
2006-07-27,41,89.0,,0.89,36.49
2006-07-28,43,89.0,,0.89,38.27
2006-07-29,96,89.0,,0.89,85.44
2006-07-30,48,89.0,,0.89,42.72
2006-07-31,60,89.0,,0.89,53.4
2006-08-01,92,81.0,False,0.81,74.52000000000001
2006-08-02,80,81.0,,0.81,64.80000000000001
2006-08-03,82,81.0,,0.81,66.42
2006-08-04,0,81.0,,0.81,0.0
2006-08-05,43,81.0,,0.81,34.830000000000005
2006-08-06,44,81.0,,0.81,35.64
2006-08-07,81,81.0,,0.81,65.61
2006-08-08,26,81.0,,0.81,21.060000000000002
2006-08-09,80,81.0,,0.81,64.80000000000001
2006-08-10,0,81.0,,0.81,0.0
2006-08-11,72,81.0,,0.81,58.32000000000001
2006-08-12,42,81.0,,0.81,34.02
2006-08-13,65,81.0,,0.81,52.650000000000006
2006-08-14,27,81.0,,0.81,21.87
2006-08-15,91,81.0,,0.81,73.71000000000001
2006-08-16,53,81.0,,0.81,42.93
2006-08-17,41,81.0,,0.81,33.21
2006-08-18,57,81.0,,0.81,46.17
2006-08-19,62,81.0,,0.81,50.220000000000006
2006-08-20,42,81.0,,0.81,34.02
2006-08-21,53,81.0,,0.81,42.93
2006-08-22,90,81.0,,0.81,72.9
2006-08-23,52,81.0,,0.81,42.120000000000005
2006-08-24,40,81.0,,0.81,32.400000000000006
2006-08-25,82,81.0,,0.81,66.42
2006-08-26,100,81.0,,0.81,81.0
2006-08-27,40,81.0,,0.81,32.400000000000006
2006-08-28,63,81.0,,0.81,51.03
